genre,category,title,year,distribution,description,url,cover_photo
Animation,Hollywood,The Lion King 2019,2019,BluRay,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",https://fzmovies.net/movie-The%20Lion%20King%202019--hmp4.htm,https://fzmovies.net/imdb_images/The.Lion.King.2019.jpg
Animation,Hollywood,Frozen 2,2019,BluRay,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom....<more>",https://fzmovies.net/movie-Frozen%202--hmp4.htm,https://fzmovies.net/imdb_images/Frozen.2.2019.jpg
Animation,Hollywood,Spider Man Into the Spider Verse,2018,BluRay,"Miles Morales comes across the long-dead Peter Parker. This Peter Parker is not from his world though; he's from somewhere else in the multiverse. With Parker's guidance, Miles will become Spider-Man: and through that he will become part of the ever-expanding 'Spider-Verse'. Written by Johnny...<more>",https://fzmovies.net/movie-Spider%20Man%20Into%20the%20Spider%20Verse%20--hmp4.htm,https://fzmovies.net/imdb_images/Spider.Man.Into.The.Spider.Versee.2018.jpg
Animation,Hollywood,Moana 2016,2016,BluRay,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the Demigod to set things right. ...<more>",https://fzmovies.net/movie-Moana%202016--hmp4.htm,https://fzmovies.net/imdb_images/Moana.2016.jpg
Animation,Hollywood,Incredibles 2,2018,BluRay,"While the Parr family has accepted its collective calling as superheroes, the fact remains that their special heroism is still illegal. After they are arrested after unsuccessfully trying to stop the Underminer, their future seems bleak. However, the wealthy Deavor siblings of Devtech offer new…Tags : sabotage...<more>",https://fzmovies.net/movie-Incredibles%202%20--hmp4.htm,https://fzmovies.net/imdb_images/The.Incredibles.2.2018.jpg
Animation,Hollywood,How to Train Your Dragon The Hidden World,2019,BluRay,"As Hiccup fulfills his dream of creating a peaceful dragon utopia, Toothless' discovery of an untamed, elusive mate draws the Night Fury away. When danger mounts at home and Hiccup's reign as village chief is tested, both dragon and rider must make impossible decisions to save their kind. Written…Tags : dragon | viking...<more>",https://fzmovies.net/movie-How%20to%20Train%20Your%20Dragon%20The%20Hidden%20World--hmp4.htm,https://fzmovies.net/imdb_images/How.to.Train.Your.Dragon.3.2018.jpg
Animation,Hollywood,Onward,2020,BluRay,"Set in a suburban fantasy world, two teenage elf brothers, Ian and Barley Lightfoot, go on an journey to discover if there is still a little magic left out there in order to spend one last day with their father, who died when they were too young to remember him.Tags : elf...<more>",https://fzmovies.net/movie-Onward--hmp4.htm,https://fzmovies.net/imdb_images/Onward.2020.jpg
Animation,Hollywood,Spies in Disguise,2019,BluRay,"When the world's best spy is turned into a pigeon, he must rely on his nerdy tech officer to save the world. Tags : spy | inventor...<more>",https://fzmovies.net/movie-Spies%20in%20Disguise--hmp4.htm,https://fzmovies.net/imdb_images/Spies.in.Disguise.2019%20.jpg
Animation,Hollywood,Now You See Me 2,2016,BluRay,The Four Horsemen resurface and are forcibly recruited by a tech genius to pull off their most impossible heist yet.,https://fzmovies.net/movie-Now%20You%20See%20Me%202--hmp4.htm,https://fzmovies.net/imdb_images/Now.You.See.Me.2.2016.jpg
Animation,Hollywood,Raya and the Last Dragon,2021,BluRay,"Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. However, when sinister monsters known as the Druun threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, those same monsters have returned, and it's up to a lone…Tags : warrior | dragon...<more>",https://fzmovies.net/movie-Raya%20and%20the%20Last%20Dragon--hmp4.htm,https://fzmovies.net/imdb_images/Raya.and.the.Last.Dragon.2021.jpg
