genre,category,title,year,distribution,description,url,cover_photo
Crime,Hollywood,John Wick Chapter 3 Parabellum,2019,BluRay,"In this third installment of the adrenaline-fueled action franchise, skilled assassin John Wick (Keanu Reeves) returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin's guild, the High Table,…Tags : sequel | chase | dog...<more>",https://fzmovies.net/movie-John%20Wick%20Chapter%203%20Parabellum--hmp4.htm,https://fzmovies.net/imdb_images/John.Wick.3.2019.jpg
Crime,Hollywood,Bad Boys for Life,2020,BluRay,"Marcus and Mike have to confront new issues (career changes and midlife crises), as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.Tags : detective...<more>",https://fzmovies.net/movie-Bad%20Boys%20for%20Life--hmp4.htm,https://fzmovies.net/imdb_images/Bad.Boys.for.Life.2020.jpg
Crime,Hollywood,Fast and Furious 9,2021,BluRay,"Cypher enlists the help of Jakob, Dom's younger brother to take revenge on Dom and his team.",https://fzmovies.net/movie-Fast%20and%20Furious%209--hmp4.htm,https://fzmovies.net/imdb_images/Fast.And.Furious.9.2021.jpg
Crime,Hollywood,John Wick Chapter 4,2023,BluRay,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.Tags : fourth part | assassin | sequel...<more>",https://fzmovies.net/movie-John%20Wick%20Chapter%204--hmp4.htm,https://fzmovies.net/imdb_images/John.Wick.Chapter.4.2023.jpg
Crime,Hollywood,Joker,2019,BluRay,"Joker centers around an origin of the iconic arch nemesis and is an original, standalone story not seen before on the big screen. Todd Phillips' exploration of Arthur Fleck (Joaquin Phoenix), a man disregarded by society, is not only a gritty character study, but also a broader cautionary tale.Tags : insanity...<more>",https://fzmovies.net/movie-Joker--hmp4.htm,https://fzmovies.net/imdb_images/Joker.2019.jpg
Crime,Hollywood,The Wolf of Wall Street,2012,BluRay,"Based on the true story of Jordan Belfort, from his rise to a wealthy stockbroker living the high life to his fall involving crime, corruption and the federal government....<more>",https://fzmovies.net/movie-The%20Wolf%20of%20Wall%20Street--hmp4.htm,https://fzmovies.net/imdb_images/The.Wolf.of.Wall.Street.2013.jpg
Crime,Hollywood,Fast and Furious 7,2015,BluRay,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,https://fzmovies.net/movie-Fast%20and%20Furious%207--hmp4.htm,https://fzmovies.net/imdb_images/Fast.and.Furious.7.2015.jpg
Crime,Hollywood,The Equalizer 2,2018,BluRay,"Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?Tags : sequel...<more>",https://fzmovies.net/movie-The%20Equalizer%202--hmp4.htm,https://fzmovies.net/imdb_images/The.Equalizer.2.2018.jpg
Crime,Hollywood,John Wick Chapter 2 2017,2017,BluRay,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",https://fzmovies.net/movie-John%20Wick%20Chapter%202%202017--hmp4.htm,https://fzmovies.net/imdb_images/John.Wick.Chapter.2.2017.jpg
Crime,Hollywood,Fast X,2023,BluRay,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.Tags : shared universe | home invasion...<more>,https://fzmovies.net/movie-Fast%20X--hmp4.htm,https://fzmovies.net/imdb_images/Fast.X.2023.jpg
Crime,Hollywood,The Fate of the Furious [Part 8],2017,BluRay,"When a mysterious woman seduces Dom into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before. ...<more>",https://fzmovies.net/movie-The%20Fate%20of%20the%20Furious%20[Part%208]--hmp4.htm,https://fzmovies.net/imdb_images/The.Fat.of.the.Furious.2017.jpg
Crime,Hollywood,Mechanic Resurrection,2016,BluRay,"Arthur Bishop thought he had put his murderous past behind him when his most formidable foe kidnaps the love of his life. Now he is forced to travel the globe to complete three impossible assassinations, and do what he does best, make them look like accidents...<more>",https://fzmovies.net/movie-Mechanic%20Resurrection%20--hmp4.htm,https://fzmovies.net/imdb_images/Mechanic.2.Resurrection.2016.jpg
Crime,Hollywood,Shaft 2019,2019,BluRay,"JJ, aka John Shaft Jr. (Usher), may be a cyber security expert with a degree from MIT, but to uncover the truth behind his best friend's untimely death, he needs an education only his dad can provide. Absent throughout JJ's youth, the legendary locked-and-loaded John Shaft (Jackson) agrees to help…Tags : sequel...<more>",https://fzmovies.net/movie-Shaft%202019--hmp4.htm,https://fzmovies.net/imdb_images/Shaft.2019.jpg
Crime,Hollywood,Skyscraper 2018,2018,BluRay,"FBI Hostage Rescue Team leader and U.S. war veteran Will Sawyer now assesses security for skyscrapers. On assignment in Hong Kong he finds the tallest, safest building in the world suddenly ablaze, and he's been framed for it. A wanted man on the run, Will must find those responsible, clear his…Tags : fbi | fire...<more>",https://fzmovies.net/movie-Skyscraper%202018--hmp4.htm,https://fzmovies.net/imdb_images/Skyscraper.2018.jpg
Crime,Hollywood,Red Notice,2021,WEB-DL,An Interpol agent tracks the world's most wanted art thief.Tags : art | thief | money | agent...<more>,https://fzmovies.net/movie-Red%20Notice--hmp4.htm,https://fzmovies.net/imdb_images/Red.Notice.2021.jpg
