genre,category,title,year,distribution,description,url,cover_photo
Documentary,Hollywood,After Porn Ends 2 2017,2017,WEB-DL,"After Porn Ends 2 picks up where it's predecessor left off and not only turns back the clock to meet the oldest living stars in adult film's history, but goes in depth with some of Its most... ...<more>",https://fzmovies.net/movie-After%20Porn%20Ends%202%202017--hmp4.htm,https://fzmovies.net/imdb_images/After.Porn.Ends.2.2017.jpg
Documentary,Hollywood,Kevin Hart - What Now,2016,BluRay,"Comedian Kevin Hart performs in front of a crowd of 50,000 people at Philadelphia's outdoor venue, Lincoln Financial Field.",https://fzmovies.net/movie-Kevin%20Hart%20-%20What%20Now--hmp4.htm,https://fzmovies.net/imdb_images/Kevin_Hart_What_Now_(2016).jpg
Documentary,Hollywood,After Porn Ends 3,2018,WEB-DL,After Porn Ends 3 continues to explore whether a career as an adult performer is inherently damaging to the balance of a perfomer's life once retired.,https://fzmovies.net/movie-After%20Porn%20Ends%203--hmp4.htm,https://fzmovies.net/imdb_images/After.Porn.Ends.3.2018.jpg
Documentary,Hollywood,Kevin Hart Let Me Explain,2013,BluRay,"Filmed at a sold-out performance at Madison Square Garden, comedian Kevin Hart delivers material from his 2012 ""Let Me Explain"" concert tour.
...<more>",https://fzmovies.net/movie-Kevin%20Hart%20Let%20Me%20Explain--hmp4.htm,https://fzmovies.net/imdb_images/Kevin.Hart.Let.Me.Explain.2013.jpg
Documentary,Hollywood,Kevin Hart Laugh at My Pain,2011,DVDRip,Experience the show that quickly became a national phenomenon. Get an up-close and personal look at Kevin Hart back in Philly where he began his journey to become one of the funniest comedians of all time. You will laugh 'til it hurts! ...<more>,https://fzmovies.net/movie-Kevin%20Hart%20Laugh%20at%20My%20Pain--hmp4.htm,https://fzmovies.net/imdb_images/Kevin.Hart.Laugh.At.My.Pain.2011.jpg
Documentary,Hollywood,Louis Theroux Selling Sex,2020,HDTV,"Meet women in UK, legally providing sexual services, either to make a living or to supplement their income, potentially earning hundreds of pounds per hour. ...<more>",https://fzmovies.net/movie-Louis%20Theroux%20Selling%20Sex--hmp4.htm,https://fzmovies.net/imdb_images/louis.theroux.selling.Six.2020.jpg
Documentary,Hollywood,Biggie and Tupac,2001,DVDRip,"In 1997, rap superstars <a href=""/name/nm0000637/"">Tupac Shakur</a> and Christopher Wallace (aka Biggie Smalls, <a href=&quot;/name/nm0857263/"">The Notorious B.I.G.</a>) were gunned down in separate incidents, the apparent victims of hip hop's infamous east-west rivalry. Nick Broomfield's film introduces Russell Poole, an ex-cop with damning evidence that suggests the LAPD deliberately fumbled the case to conceal connections between the police, LA gangs and Death Row Records, the label run by feared rap mogul Marion ""Suge"" Knight. ...<more>",https://fzmovies.net/movie-Biggie%20and%20Tupac--hmp4.htm,https://fzmovies.net/imdb_images/Biggie%20and%20Tupac.jpg
Documentary,Hollywood,Ronaldo,2015,BRRip,"Filmed over 14 months with unprecedented access into the inner circle of the man and the sport, this is the first official and fully authorized film of one of the most celebrated figures in......<more>",https://fzmovies.net/movie-Ronaldo--hmp4.htm,https://fzmovies.net/imdb_images/%20Ronaldo.2015.jpg
Documentary,Hollywood,Addicted to Sexting,2015,WEB-DL,"""ADDICTED TO SEXTING"", a compelling (and sometimes humorous) look at the rise and proliferation of this social phenomenon from several varying perspectives and how the lives of those ......<more>",https://fzmovies.net/movie-Addicted%20to%20Sexting--hmp4.htm,https://fzmovies.net/imdb_images/Addicted.to.Sexting.2015.jpg
Documentary,Hollywood,Homecoming - A Film by Beyonce,2019,WEB-DL,"This intimate, in-depth look at Beyoncé's celebrated 2018 Coachella performance reveals the emotional road from creative concept to cultural movement.
...<more>",https://fzmovies.net/movie-Homecoming%20-%20A%20Film%20by%20Beyonce--hmp4.htm,https://fzmovies.net/imdb_images/Homecoming.A.Film.by.Beyonce.2019.jpg
Documentary,Hollywood,Jackass Forever,2022,BluRay,"After 11 years, the Jackass crew is back for their final crusade.Tags : bare chested male...<more>",https://fzmovies.net/movie-Jackass%20Forever--hmp4.htm,https://fzmovies.net/imdb_images/Jackass.Forever.2022.jpg
Documentary,Hollywood,Kevin Hart Im a Grown Little Man,2009,BluRay,"With his wisecracking one-of-a-kind style of comedy, Kevin Hart pokes fun at everyone - even his audience.",https://fzmovies.net/movie-Kevin%20Hart%20Im%20a%20Grown%20Little%20Man--hmp4.htm,https://fzmovies.net/imdb_images/Kevin.Hart.Im.A.Grown.Little.Man.2009.jpg
Documentary,Hollywood,Jackass The Movie,2002,WEB-DL,"Johnny Knoxville and his crazy friends appear on the big screen for the very first time in Jackass: The Movie. They wander around Japan in panda outfits, wreak havoc on a once civilized golf court, they even do stunts involving LIVE alligators, and so on. While Johnny Knoxvile and his pals put their life at risk, they are entertaining people at the same time. Get ready for Jackass: The Movie!! ...<more>",https://fzmovies.net/movie-Jackass%20The%20Movie--hmp4.htm,https://fzmovies.net/imdb_images/Jackass%20The%20Movie.jpg
Documentary,Hollywood,The Tinder Swindler,2022,WEB-DL,A fraud man who attracts women using the popular dating app and tricked them out of millions of dollars.Tags : woman | money | criminal...<more>,https://fzmovies.net/movie-The%20Tinder%20Swindler--hmp4.htm,https://fzmovies.net/imdb_images/The.Tinder.Swindler.2022.jpg
