genre,category,title,year,distribution,description,url,cover_photo
Family,Hollywood,The Lion King 2019,2019,BluRay,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",https://fzmovies.net/movie-The%20Lion%20King%202019--hmp4.htm,https://fzmovies.net/imdb_images/The.Lion.King.2019.jpg
Family,Hollywood,Aladdin,2019,BluRay,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,https://fzmovies.net/movie-Aladdin--hmp4.htm,https://fzmovies.net/imdb_images/Aladdin.2019.jpg
Family,Hollywood,Frozen 2,2019,BluRay,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom....<more>",https://fzmovies.net/movie-Frozen%202--hmp4.htm,https://fzmovies.net/imdb_images/Frozen.2.2019.jpg
Family,Hollywood,Spider Man Into the Spider Verse,2018,BluRay,"Miles Morales comes across the long-dead Peter Parker. This Peter Parker is not from his world though; he's from somewhere else in the multiverse. With Parker's guidance, Miles will become Spider-Man: and through that he will become part of the ever-expanding 'Spider-Verse'. Written by Johnny...<more>",https://fzmovies.net/movie-Spider%20Man%20Into%20the%20Spider%20Verse%20--hmp4.htm,https://fzmovies.net/imdb_images/Spider.Man.Into.The.Spider.Versee.2018.jpg
Family,Hollywood,Sonic the Hedgehog,2020,BluRay,"Based on the global blockbuster videogame franchise from Sega, SONIC THE HEDGEHOG tells the story of the world's speediest hedgehog as he embraces his new home on Earth. In this live-action adventure comedy, Sonic and his new best friend Tom (James Marsden) team up to defend the planet from the…...<more>",https://fzmovies.net/movie-Sonic%20the%20Hedgehog--hmp4.htm,https://fzmovies.net/imdb_images/Sonic.The.Hedgehog.2020.jpg
Family,Hollywood,Incredibles 2,2018,BluRay,"While the Parr family has accepted its collective calling as superheroes, the fact remains that their special heroism is still illegal. After they are arrested after unsuccessfully trying to stop the Underminer, their future seems bleak. However, the wealthy Deavor siblings of Devtech offer new…Tags : sabotage...<more>",https://fzmovies.net/movie-Incredibles%202%20--hmp4.htm,https://fzmovies.net/imdb_images/The.Incredibles.2.2018.jpg
Family,Hollywood,How to Train Your Dragon The Hidden World,2019,BluRay,"As Hiccup fulfills his dream of creating a peaceful dragon utopia, Toothless' discovery of an untamed, elusive mate draws the Night Fury away. When danger mounts at home and Hiccup's reign as village chief is tested, both dragon and rider must make impossible decisions to save their kind. Written…Tags : dragon | viking...<more>",https://fzmovies.net/movie-How%20to%20Train%20Your%20Dragon%20The%20Hidden%20World--hmp4.htm,https://fzmovies.net/imdb_images/How.to.Train.Your.Dragon.3.2018.jpg
Family,Hollywood,Onward,2020,BluRay,"Set in a suburban fantasy world, two teenage elf brothers, Ian and Barley Lightfoot, go on an journey to discover if there is still a little magic left out there in order to spend one last day with their father, who died when they were too young to remember him.Tags : elf...<more>",https://fzmovies.net/movie-Onward--hmp4.htm,https://fzmovies.net/imdb_images/Onward.2020.jpg
Family,Hollywood,Maleficent - Mistress of Evil,2019,BluRay,"Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies, and dark new forces at play.
Tags : sequel | fairy...<more>",https://fzmovies.net/movie-Maleficent%20-%20Mistress%20of%20Evil--hmp4.htm,https://fzmovies.net/imdb_images/Maleficent.Mistress.of.Evil.2019.jpg
Family,Hollywood,Spies in Disguise,2019,BluRay,"When the world's best spy is turned into a pigeon, he must rely on his nerdy tech officer to save the world. Tags : spy | inventor...<more>",https://fzmovies.net/movie-Spies%20in%20Disguise--hmp4.htm,https://fzmovies.net/imdb_images/Spies.in.Disguise.2019%20.jpg
Family,Hollywood,Raya and the Last Dragon,2021,BluRay,"Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. However, when sinister monsters known as the Druun threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, those same monsters have returned, and it's up to a lone…Tags : warrior | dragon...<more>",https://fzmovies.net/movie-Raya%20and%20the%20Last%20Dragon--hmp4.htm,https://fzmovies.net/imdb_images/Raya.and.the.Last.Dragon.2021.jpg
Family,Hollywood,The Secret Life of Pets 2,2019,BluRay,"Max faces some major changes after his owner Katie gets married and now has a child . On a family trip to the countryside, Max meets a farm dog named Rooster, and both attempt to overcome his fears. Meanwhile, Gidget tries to rescue Max's favorite toy from a cat-packed apartment, and Snowball sets…Tags : sequel | dog...<more>",https://fzmovies.net/movie-The%20Secret%20Life%20of%20Pets%202--hmp4.htm,https://fzmovies.net/imdb_images/The.Secret.Life.of.Pets.2.2019.jpg
Family,Hollywood,The Croods 2,2020,BluRay,"The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved.",https://fzmovies.net/movie-The%20Croods%202--hmp4.htm,https://fzmovies.net/imdb_images/The.Croods.A.New.Age.2020.jpg
Family,Hollywood,The Boss Baby 2017,2017,BluRay,A suit-wearing briefcase-carrying baby pairs up with his seven-year old brother to stop the dastardly plot of the CEO of Puppy Co.,https://fzmovies.net/movie-The%20Boss%20Baby%202017--hmp4.htm,https://fzmovies.net/imdb_images/The.Boss.Baby.2017.jpg
Family,Hollywood,Encanto,2021,BluRay,A young Colombian girl has to face the frustration of being the only member of her family without magical powers.Tags : cgi animation...<more>,https://fzmovies.net/movie-Encanto--hmp4.htm,https://fzmovies.net/imdb_images/Encanto.2021.jpg
Family,Hollywood,Hotel Transylvania 3 Summer Vacation,2018,BluRay,"Mavis surprises Dracula with a family voyage on a luxury Monster Cruise Ship so he can take a vacation from providing everyone else's vacation at the hotel. The rest of Drac's Pack cannot resist going along. But once they leave port, romance arises when Dracula meets the mysterious ship Captain,…Tags : dracula...<more>",https://fzmovies.net/movie-Hotel%20Transylvania%203%20Summer%20Vacation--hmp4.htm,https://fzmovies.net/imdb_images/Hotel.Transylvania.3.2018.jpg
