genre,category,title,year,distribution,description,url,cover_photo
Fantasy,Hollywood,Avengers - Endgame,2019,BluRay,"The grave course of events set in motion by Thanos that wiped out half the universe and fractured the Avengers ranks compels the remaining Avengers to take one final stand in Marvel Studios' grand conclusion to twenty-two films, Avengers: Endgame....<more>",https://fzmovies.net/movie-Avengers%20-%20Endgame--hmp4.htm,https://fzmovies.net/imdb_images/Avengers.Endgame.2019.jpg
Fantasy,Hollywood,Avengers Infinity War,2018,BluRay,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe. ...<more>,https://fzmovies.net/movie-Avengers%20Infinity%20War--hmp4.htm,https://fzmovies.net/imdb_images/Avengers.Infinity.War.2018.jpg
Fantasy,Hollywood,Spider Man No Way Home,2021,BluRay,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.Tags : superhero | based on comic | marvel comics...<more>",https://fzmovies.net/movie-Spider%20Man%20No%20Way%20Home--hmp4.htm,https://fzmovies.net/imdb_images/Spider.Man.No.Way.Home.2021.jpg
Fantasy,Hollywood,Black Panther Wakanda Forever,2022,BluRay,The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.Tags : sequel | second part | superhero | marvel comics...<more>,https://fzmovies.net/movie-Black%20Panther%20Wakanda%20Forever--hmp4.htm,https://fzmovies.net/imdb_images/Black.Panther.Wakanda.Forever.2022.jpg
Fantasy,Hollywood,Aquaman,2018,BluRay,"Arthur Curry learns that he is the heir to the underwater kingdom of Atlantis, and must step forward to lead his people and be a hero to the world.Tags : ocean...<more>",https://fzmovies.net/movie-Aquaman--hmp4.htm,https://fzmovies.net/imdb_images/Aquaman.2018.jpg
Fantasy,Hollywood,Jumanji The Next Level,2019,BluRay,"The gang is back but the game has changed. As they return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored, from the arid deserts to the snowy mountains, in order to escape the world's most dangerous…Tags : sequel | christmas...<more>",https://fzmovies.net/movie-Jumanji%20The%20Next%20Level--hmp4.htm,https://fzmovies.net/imdb_images/Jumanji.The.Next.Level.2019.jpg
Fantasy,Hollywood,Black Adam,2022,BluRay,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods-and imprisoned just as quickly-Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.Tags : based on comic | based on comic book | dc comics...<more>",https://fzmovies.net/movie-Black%20Adam--hmp4.htm,https://fzmovies.net/imdb_images/Black.Adam.2022.jpg
Fantasy,Hollywood,Avatar The Way of Water,2022,BluRay,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.Tags : sequel | second part | jungle | ocean...<more>",https://fzmovies.net/movie-Avatar%20The%20Way%20of%20Water--hmp4.htm,https://fzmovies.net/imdb_images/Avatar.The.Way.of.Water.2022.jpg
Fantasy,Hollywood,Shang Chi and the Legend of the Ten Rings,2021,BluRay,"Shang-Chi, the master of unarmed weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.Tags : superhero | marvel comics | based on comic | martial arts | dragon...<more>",https://fzmovies.net/movie-Shang%20Chi%20and%20the%20Legend%20of%20the%20Ten%20Rings--hmp4.htm,https://fzmovies.net/imdb_images/Shang.Chi.and.the.Legend.of.the.Ten.Rings.2021.jpg
Fantasy,Hollywood,The Twilight Saga - Breaking Dawn - Part 2,2012,BluRay,"Bella is enjoying her new life and new powers, after the birth of their daughter, Renesmee. Soon, however, their family bliss is threatened again, by a new menace. Vampire Irina believes a child like Renesmee could challenge the power and existence of the Volturi. As Irina rallies the Volturi to destroy this potential threat, Bella and the Cullens - together with any allies they can assemble - are preparing to fight a crucial, ultimate battle, to protect their family. ...<more>",https://fzmovies.net/movie-The%20Twilight%20Saga%20-%20Breaking%20Dawn%20-%20Part%202--hmp4.htm,https://fzmovies.net/imdb_images/The%20Twilight%20Saga:%20Breaking%20Dawn%20-%20Part%202.jpg
