genre,category,title,year,distribution,description,url,cover_photo
Film-Noir,Hollywood,Strangers on a Train,1951,BluRay,"Bruno Anthony thinks he has the perfect plot to rid himself of his hated father and when he meets tennis player Guy Haines on a train, he thinks he's found the partner he needs to pull it off. His plan is relatively simple. Two strangers each agree to kill someone the other person wants disposed of. For example, Guy could kill his father and he could get rid of Guy's wife Miriam, freeing him to marry Anne Morton, the beautiful daughter of a U.S. Senator. Guy dismisses it all out of hand but but Bruno goes ahead with his half of the 'bargain' and disposes of Miriam. When Guy balks, Bruno makes it quite clear that he will plant evidence to implicate Guy in her murder if he doesn't get rid of his father. Guy had also made some unfortunate statements about Miriam after she had refused him a divorce. It all leads the police to believe Guy is responsible for the murder, forcing him to deal with Bruno's mad ravings. ...<more>",https://fzmovies.net/movie-Strangers%20on%20a%20Train--hmp4.htm,https://fzmovies.net/imdb_images/Strangers%20on%20a%20Train.jpg
Film-Noir,Hollywood,Notorious 1946,1946,BluRay,"Following the conviction of her German father for treason against the U.S., Alicia Huberman takes to drink and men. She is approached by a government agent (T.R. Devlin) who asks her to spy on a group of her father's Nazi friends operating out of Rio de Janeiro. A romance develops between Alicia and Devlin, but she starts to get too involved in her work. ...<more>",https://fzmovies.net/movie-Notorious%201946--hmp4.htm,https://fzmovies.net/imdb_images/Notorious%201946.jpg
Film-Noir,Hollywood,Double Indemnity,1944,BluRay,"In 1938, Walter Neff, an experienced salesman of the Pacific All Risk Insurance Co., meets the seductive wife of one of his clients, Phyllis Dietrichson, and they have an affair. Phyllis proposes to kill her husband to receive the proceeds of an accident insurance policy and Walter devises a scheme to receive twice the amount based on a double indemnity clause. When Mr. Dietrichson is found dead on a train-track, the police accept the determination of accidental death. However, the insurance analyst and Walter's best friend Barton Keyes does not buy the story and suspects that Phyllis has murdered her husband with the help of another man. ...<more>",https://fzmovies.net/movie-Double%20Indemnity--hmp4.htm,https://fzmovies.net/imdb_images/Double%20Indemnity.jpg
Film-Noir,Hollywood,Touch of Evil,1958,BluRay,"Mexican Narcotics officer Ramon Miguel 'Mike' Vargas has to interrupt his honeymoon on the Mexican-US border when an American building contractor is killed after someone places a bomb in his car. He's killed on the US side of the border but it's clear that the bomb was planted on the Mexican side. As a result, Vargas delays his return to Mexico City where he has been mounting a case against the Grandi family crime and narcotics syndicate. Police Captain Hank Quinlan is in charge on the US side and he soon has a suspect, a Mexican named Manolo Sanchez. Vargas is soon onto Quinlan and his Sergeant, Pete Menzies, when he catches them planting evidence to convict Sanchez. With his new American wife, Susie, safely tucked away in a hotel on the US side of the border - or so he thinks - he starts to review Quinlan's earlier cases. While concentrating on the corrupt policeman however, the Grandis have their own plans for Vargas and they start with his wife Susie. ...<more>",https://fzmovies.net/movie-Touch%20of%20Evil--hmp4.htm,https://fzmovies.net/imdb_images/Touch%20of%20Evil.jpg
Film-Noir,Hollywood,The Third Man,1949,BluRay,"An out of work pulp fiction novelist, Holly Martins, arrives in a post war Vienna divided into sectors by the victorious allies, and where a shortage of supplies has lead to a flourishing black market. He arrives at the invitation of an ex-school friend, Harry Lime, who has offered him a job, only to discover that Lime has recently died in a peculiar traffic accident. From talking to Lime's friends and associates Martins soon notices that some of the stories are inconsistent, and determines to discover what really happened to Harry Lime. ...<more>",https://fzmovies.net/movie-The%20Third%20Man--hmp4.htm,https://fzmovies.net/imdb_images/The%20Third%20Man.jpg
Film-Noir,Hollywood,Sunset Blvd.,1950,BluRay,"The story, set in '50s Hollywood, focuses on Norma Desmond, a silent-screen goddess whose pathetic belief in her own indestructibility has turned her into a demented recluse. The crumbling Sunset Boulevard mansion where she lives with only her butler, Max who was once her director and husband has become her self-contained world. Norma dreams of a comeback to pictures and she begins a relationship with Joe Gillis, a small-time writer who becomes her lover, that will soon end with murder and total madness. ...<more>",https://fzmovies.net/movie-Sunset%20Blvd.--hmp4.htm,https://fzmovies.net/imdb_images/Sunset%20Blvd..jpg
Film-Noir,Hollywood,The Maltese Falcon,1941,BluRay,"Spade and Archer is the name of a San Francisco detective agency. That's for Sam Spade and Miles Archer. The two men are partners, but Sam doesn't like Miles much. A knockout, who goes by the name of Miss Wanderly, walks into their office; and by that night everything's changed. Miles is dead. And so is a man named Floyd Thursby. It seems Miss Wanderly is surrounded by dangerous men. There's Joel Cairo, who uses gardenia-scented calling cards. There's Kasper Gutman, with his enormous girth and feigned civility. Her only hope of protection comes from Sam, who is suspected by the police of one or the other murder. More murders are yet to come, and it will all be because of these dangerous men -- and their lust for a statuette of a bird: the Maltese Falcon. ...<more>",https://fzmovies.net/movie-The%20Maltese%20Falcon--hmp4.htm,https://fzmovies.net/imdb_images/The%20Maltese%20Falcon.jpg
Film-Noir,Hollywood,Dial M for Murder,1954,BluRay,"An ex-tennis pro carries out a plot to murder his wife. When things go wrong, he improvises a brilliant plan B.",https://fzmovies.net/movie-Dial%20M%20for%20Murder--hmp4.htm,https://fzmovies.net/imdb_images/Dial.M.for.Murder.1954.jpg
Film-Noir,Hollywood,Spellbound,1944,BluRay,"The head of the Green Manors mental asylum Dr. Murchison is retiring to be replaced by Dr. Edwardes, a famous psychiatrist. Edwardes arrives and is immediately attracted to the beautiful but cold Dr. Constance Petersen. However, it soon becomes apparent that Dr. Edwardes is in fact a paranoid amnesiac impostor. He goes on the run with Constance who tries to help his condition and solve the mystery of what happened to the real Dr. Edwardes. ...<more>",https://fzmovies.net/movie-Spellbound--hmp4.htm,https://fzmovies.net/imdb_images/Spellbound.jpg
Film-Noir,Hollywood,Rope,1948,BluRay,"Two young men strangle their ""inferior"" classmate, hide his body in their apartment, and invite his friends and family to a dinner party as a means to challenge the ""perfection"" of their crime. ...<more>",https://fzmovies.net/movie-Rope--hmp4.htm,https://fzmovies.net/imdb_images/Rope.1948.jpg
