genre,category,title,year,distribution,description,url,cover_photo
History,Hollywood,Titanic,1997,BluRay,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fianc�, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning. ...<more>",https://fzmovies.net/movie-Titanic--hmp4.htm,https://fzmovies.net/imdb_images/Titanic.jpg
History,Hollywood,Ip Man 4,2019,BluRay,The Kung Fu master travels to the U.S. where his student has upset the local martial arts community by opening a Wing Chun school. Tags : sequel...<more>,https://fzmovies.net/movie-Ip%20Man%204--hmp4.htm,https://fzmovies.net/imdb_images/Ip.Man.4.The.Finale.2019.jpg
History,Hollywood,The Woman King,2022,BluRay,"A historical epic inspired by true events that took place in The Kingdom of Dahomey, one of the most powerful states of Africa in the 18th and 19th centuries.Tags : africa...<more>",https://fzmovies.net/movie-The%20Woman%20King--hmp4.htm,https://fzmovies.net/imdb_images/The.Woman.King.2022.jpg
History,Hollywood,300,2006,BluRay,"In the Battle of Thermopylae of 480 BC an alliance of Greek city-states fought the invading Persian army in the mountain pass of Thermopylae. Vastly outnumbered, the Greeks held back the enemy in one of the most famous last stands of history. Persian King Xerxes lead a Army of well over 100,000 (Persian king Xerxes before war has about 170,000 army) men to Greece and was confronted by 300 Spartans, and several hundred Arcadians. Xerxes waited for 10 days for King Leonidas to surrender or withdraw left with no options he moved. The battle lasted for about 3 days and after which all 300 Spartans were killed. The Spartan defeat was not the one expected, as a local shepherd, named Ephialtes, defected to the Persians and informed Xerxes of a separate path through Thermopylae, which the Persians could use to outflank the Greeks. ...<more>",https://fzmovies.net/movie-300--hmp4.htm,https://fzmovies.net/imdb_images/300.jpg
History,Hollywood,12 Strong,2018,BluRay,"12 Strong tells the story of the first Special Forces team deployed to Afghanistan after 9/11; under the leadership of a new captain, the team must work with an Afghan warlord to take down the Taliban.
...<more>",https://fzmovies.net/movie-12%20Strong--hmp4.htm,https://fzmovies.net/imdb_images/12.Strong.2018.jpg
History,Hollywood,Hacksaw Ridge,2016,BluRay,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to win the Medal of Honor without firing a shot....<more>",https://fzmovies.net/movie-Hacksaw%20Ridge--hmp4.htm,https://fzmovies.net/imdb_images/Hacksaw_Ridge_(2016).jpg
History,Hollywood,The Outpost,2020,BluRay,"A small team of U.S. soldiers battle against hundreds of Taliban fighters in Afghanistan.
Tags : battle...<more>",https://fzmovies.net/movie-The%20Outpost--hmp4.htm,https://fzmovies.net/imdb_images/The.Outpost.2020.jpg
History,Hollywood,The Northman,2022,BluRay,"From visionary director Robert Eggers comes The Northman, an action-filled epic that follows a young Viking prince on his quest to avenge his father's murder.Tags : viking | revenge...<more>",https://fzmovies.net/movie-The%20Northman--hmp4.htm,https://fzmovies.net/imdb_images/The.Northman.2022.jpg
History,Hollywood,Arthur and Merlin Knights of Camelot,2020,BluRay,A much older King Arthur returns home after fighting the Roman Empire. His illegitimate son has corrupted the throne of Camelot. Now King Arthur must reunite with the wizard Merlin and the Knights of the Round Table and fight to get back his crown. Written by Ken M....<more>,https://fzmovies.net/movie-Arthur%20and%20Merlin%20Knights%20of%20Camelot--hmp4.htm,https://fzmovies.net/imdb_images/Arthur.And.Merlin.Knights.Of.Camelot.2020.jpg
History,Hollywood,12 Years a Slave,2013,BluRay,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",https://fzmovies.net/movie-12%20Years%20a%20Slave--hmp4.htm,https://fzmovies.net/imdb_images/12%20Years%20a%20Slave.jpg
History,Hollywood,Oppenheimer,2023,BluRay,"The story of American scientist, J. Robert Oppenheimer, and his role in the development of the atomic bomb.",https://fzmovies.net/movie-Oppenheimer--hmp4.htm,https://fzmovies.net/imdb_images/Oppenheimer.2023.jpg
History,Hollywood,Black Hawk Down,2002,BluRay,"Action/war drama based on the best-selling book detailing a near-disastrous mission in Somalia on October 3, 1993. On this date nearly 100 U.S. Army Rangers, commanded by Capt. Mike Steele, were dropped by helicopter deep into the capital city of Mogadishu to capture two top lieutenants of a Somali warlord. This lead to a large and drawn-out firefight between the Rangers and hundreds of Somali gunmen, leading to the destruction of two U.S. Black Hawk helicopters. This film focuses on the heroic efforts of various Rangers to get to the downed black hawks, centering on Sgt. Eversmann, leading the Ranger unit Chalk Four to the first black hawk crash site, Warrant Officer Durant who was captured after being the only survivor of the second black hawk crash, as well as many others who were involved. ...<more>",https://fzmovies.net/movie-Black%20Hawk%20Down--hmp4.htm,https://fzmovies.net/imdb_images/Black%20Hawk%20Down.jpg
