genre,category,title,year,distribution,description,url,cover_photo
Horror,Hollywood,Doctor Strange in the Multiverse of Madness,2022,BluRay,"Dr. Stephen Strange casts a forbidden spell that opens the doorway to the multiverse, including alternate versions of himself, whose threat to humanity is too great for the combined forces of Strange, Wong, and Wanda Maximoff.Tags : marvel comics | second part | superhero | based on comic | shared universe...<more>",https://fzmovies.net/movie-Doctor%20Strange%20in%20the%20Multiverse%20of%20Madness--hmp4.htm,https://fzmovies.net/imdb_images/Doctor.Strange.in.the.Multiverse.of.Madness.2022.jpg
Horror,Hollywood,Hellboy 2019,2019,BluRay,"Based on the graphic novels by Mike Mignola, Hellboy, caught between the worlds of the supernatural and human, battles an ancient sorceress bent on revenge. Tags : hell | devil | magic...<more>",https://fzmovies.net/movie-Hellboy%202019--hmp4.htm,https://fzmovies.net/imdb_images/Hellboy.2019.jpg
Horror,Hollywood,The Meg,2018,BluRay,"Five years ago, expert sea diver and Naval Captain Jonas Taylor encountered an unknown danger in the unexplored recesses of the Mariana Trench that forced him to abort his mission and abandon half his crew. Though the tragic incident earned him a dishonorable discharge, what ultimately cost him his…...<more>",https://fzmovies.net/movie-The%20Meg--hmp4.htm,https://fzmovies.net/imdb_images/The.Meg.2018.jpg
Horror,Hollywood,Wrong Turn 5 - Bloodlines,2012,BluRay,"A small West Virginia town is hosting the legendary Mountain Man Festival on Halloween, where throngs of costumed party goers gather for a wild night of music and mischief. But an inbred family of hillbilly cannibals kill the fun when they trick and treat themselves to a group of visiting college students. ...<more>",https://fzmovies.net/movie-Wrong%20Turn%205%20-%20Bloodlines--hmp4.htm,https://fzmovies.net/imdb_images/Wrong%20Turn%205.jpg
Horror,Hollywood,Escape Room 2019,2019,BluRay,"Six strangers are given mysterious black boxes with tickets to an immersive escape room for a chance to win tons of money. Being locked in several rooms with extreme conditions, they discover the secrets behind the escape room and must fight to survive and to find a way out....<more>",https://fzmovies.net/movie-Escape%20Room%202019--hmp4.htm,https://fzmovies.net/imdb_images/Escape.Room.2019.jpg
Horror,Hollywood,The Nun 2018,2018,BluRay,"When a young nun at a cloistered abbey in Romania takes her own life, a priest with a haunted past and a novitiate on the threshold of her final vows are sent by the Vatican to investigate. Together they uncover the order's unholy secret. Risking not only their lives but their faith and their very…Tags : violence...<more>",https://fzmovies.net/movie-The%20Nun%202018--hmp4.htm,https://fzmovies.net/imdb_images/The.Nun.2018.jpg
Horror,Hollywood,A Quiet Place,2018,BluRay,"Two parents do what it takes to keep their children safe in a world full of creatures hunting every sound they can hear. Not a sound can be heard from the family hiding in silence, but all it takes is one noise and everything can go wrong. Written by JHatta...<more>",https://fzmovies.net/movie-A%20Quiet%20Place--hmp4.htm,https://fzmovies.net/imdb_images/A.Quiet.Place.2018.jpg
Horror,Hollywood,It Chapter Two,2019,BluRay,"Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back. ...<more>",https://fzmovies.net/movie-It%20Chapter%20Two--hmp4.htm,https://fzmovies.net/imdb_images/It.Chapter.Two.2019.jpg
Horror,Hollywood,Morbius,2022,BluRay,"Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead.Tags : based on comic | marvel comics | superhero | vampire | blood...<more>",https://fzmovies.net/movie-Morbius--hmp4.htm,https://fzmovies.net/imdb_images/Morbius.2022.jpg
Horror,Hollywood,The Invisible Man 2020,2020,BluRay,"The film follows Cecilia, who receives the news of her abusive ex-boyfriend's suicide. She begins to re-build her life for the better. However, her sense of reality is put into question when she begins to suspect her deceased lover is not actually dead. Written by MaxTags : murder | death | violence...<more>",https://fzmovies.net/movie-The%20Invisible%20Man%202020--hmp4.htm,https://fzmovies.net/imdb_images/The.Invisible.Man.2020.jpg
