genre,category,title,year,distribution,description,url,cover_photo
Music,Hollywood,The Lion King 2019,2019,BluRay,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",https://fzmovies.net/movie-The%20Lion%20King%202019--hmp4.htm,https://fzmovies.net/imdb_images/The.Lion.King.2019.jpg
Music,Hollywood,Aladdin,2019,BluRay,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,https://fzmovies.net/movie-Aladdin--hmp4.htm,https://fzmovies.net/imdb_images/Aladdin.2019.jpg
Music,Hollywood,Frozen 2,2019,BluRay,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom....<more>",https://fzmovies.net/movie-Frozen%202--hmp4.htm,https://fzmovies.net/imdb_images/Frozen.2.2019.jpg
Music,Hollywood,Encanto,2021,BluRay,A young Colombian girl has to face the frustration of being the only member of her family without magical powers.Tags : cgi animation...<more>,https://fzmovies.net/movie-Encanto--hmp4.htm,https://fzmovies.net/imdb_images/Encanto.2021.jpg
Music,Hollywood,The Little Mermaid 2023,2023,BluRay,A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince....<more>,https://fzmovies.net/movie-The%20Little%20Mermaid%202023--hmp4.htm,https://fzmovies.net/imdb_images/The.Little.Mermaid.2023.jpg
Music,Hollywood,Baby Driver 2017,2017,BluRay,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",https://fzmovies.net/movie-Baby%20Driver%202017--hmp4.htm,https://fzmovies.net/imdb_images/Baby.Driver.2017.jpg
Music,Hollywood,The Lion King,1994,BluRay,"A lion prince, Simba, is born in Africa and the animals of the Pride Lands pay tribute. Later Simba is told by his father, King Mufasa, that when Mufasa dies, Simba will become King of the Pride Lands. Simba's Uncle Scar would have been king after Musafa had Mufasa not had a child. Fuelled by rage, Scar plots to kill Mufasa and Simba so he is able to take over the throne. He uses the hyenas to cause a stampede through the canyon where Mufasa and Simba are, and personally ensures Mufasa falls to his death. Simba survives so Scar implies that the stampede was Simba's fault and that the pride will blame him. Simba flees the Pride Lands meaning never to return home. Simba is found, collapsed with exhaustion, by Timone the Meerkat, and Pummba the Warthog, and the trio become fast friends. Simba stays with them well into adulthood until his childhood friend, Nala, hunting beyond the Pride Lands that herds had deserted under Scar's mismanagement stumbles upon Simba's new home. Astonished to find him alive, she begs him to return to the Pride Lands, where Scar has reigned as King for years, and ruined everything. All of the animals will starve if Simba does not return. Simba eventually agrees to fight for his kingdom. Simba battles Scar, and learns his father's death was Scar's fault, not his own. Simba prevails and, in time, has his own son, mirroring ""The Circle of Life."" ...<more>",https://fzmovies.net/movie-The%20Lion%20King--hmp4.htm,https://fzmovies.net/imdb_images/The%20Lion%20King.jpg
Music,Hollywood,Sing 2,2021,BluRay,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.Tags : second part...<more>,https://fzmovies.net/movie-Sing%202--hmp4.htm,https://fzmovies.net/imdb_images/Sing.2.2021.jpg
Music,Hollywood,Trolls World Tour,2020,BluRay,"Poppy and Branch discover that they are but one of six different Troll tribes scattered over six different lands devoted to six different kinds of music: Funk, Country, Techno, Classical, Pop and Rock. Their world is about to get a lot bigger and a whole lot louder. A member of hard-rock royalty,…Tags : sequel | dancing | singing...<more>",https://fzmovies.net/movie-Trolls%20World%20Tour--hmp4.htm,https://fzmovies.net/imdb_images/Trolls.World.Tour.2020.jpg
Music,Hollywood,Pitch Perfect 2,2015,BluRay,"After a humiliating command performance at Lincoln Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform....<more>",https://fzmovies.net/movie-Pitch%20Perfect%202--hmp4.htm,https://fzmovies.net/imdb_images/Pitch.Perfect.2.jpg
Music,Hollywood,Step Up Revolution,2012,BluRay,"The Mob sets the dancing against the vibrant backdrop of Miami. Emily arrives in Miami with aspirations of becoming a professional dancer and soon falls in love with Sean, a young man who leads a dance crew in elaborate, cutting-edge flash mobs, called ""The Mob"". When a wealthy business man threatens to develop The Mob's historic neighborhood and displace thousands-of people, Emily must work together with Sean and The Mob to turn their performance art into protest art, and risk losing their dreams to fight for a greater cause. ...<more>",https://fzmovies.net/movie-Step%20Up%20Revolution--hmp4.htm,https://fzmovies.net/imdb_images/Step%20Up%20Revolution.jpg
Music,Hollywood,A Star Is Born 2018,2018,BluRay,"Seasoned musician Jackson Maine (Bradley Cooper) discovers-and falls in love with-struggling artist Ally (Gaga). She has just about given up on her dream to make it big as a singer - until Jack coaxes her into the spotlight. But even as Ally's career takes off, the personal side of their…...<more>",https://fzmovies.net/movie-A%20Star%20Is%20Born%202018--hmp4.htm,https://fzmovies.net/imdb_images/A.Star.Is.Born.2018.jpg
Music,Hollywood,Beauty and the Beast 2017,2017,BluRay,An adaptation of the fairy tale about a monstrous-looking prince and a young woman who fall in love.,https://fzmovies.net/movie-Beauty%20and%20the%20Beast%202017--hmp4.htm,https://fzmovies.net/imdb_images/Beauty.And.The.Beast.2017.jpg
Music,Hollywood,TANGLED,2010,BluRay,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is....<more>",https://fzmovies.net/movie-TANGLED--hmp4.htm,https://fzmovies.net/imdb_images/TANGLED.jpg
Music,Hollywood,Soul,2020,BluRay,"Joe is a middle-school band teacher whose life hasn't quite gone the way he expected. His true passion is jazz -- and he's good. But when he travels to another realm to help someone find their passion, he soon discovers what it means to have soul....<more>",https://fzmovies.net/movie-Soul--hmp4.htm,https://fzmovies.net/imdb_images/Soul.2020.jpg
Music,Hollywood,Pitch Perfect 3,2017,BluRay,"Following their win at the world championship, the now separated Bellas reunite for one last singing competition at an overseas USO tour, but face a group who uses both instruments and voices.
...<more>",https://fzmovies.net/movie-Pitch%20Perfect%203--hmp4.htm,https://fzmovies.net/imdb_images/Pitch.Perfect.3.2017.jpg
Music,Hollywood,The Greatest Showman,2017,BluRay,"Celebrates the birth of show business, and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.",https://fzmovies.net/movie-The%20Greatest%20Showman--hmp4.htm,https://fzmovies.net/imdb_images/The.Greatest.Showman.2017.jpg
Music,Hollywood,Alvin and the Chipmunks: Chipwrecked,2011,BDRip,"Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems....<more>",https://fzmovies.net/movie-Alvin%20and%20the%20Chipmunks:%20Chipwrecked--hmp4.htm,https://fzmovies.net/imdb_images/Alvin%20and%20the%20Chipmunks:%20Chipwrecked.jpg
Music,Hollywood,Straight Outta Compton,2015,BluRay,"The group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood....<more>",https://fzmovies.net/movie-Straight%20Outta%20Compton--hmp4.htm,https://fzmovies.net/imdb_images/Straight.Outta.Compton.jpg
Music,Hollywood,Pitch Perfect,2012,BluRay,"The Barden Bellas are a collegiate, all-girls a cappella singing group thriving on female pop songs and their perfect looks. After a disastrous failing at last year's finals, they are forced to regroup. Among the new recruits is freshman Beca, an independent, aspiring DJ with no interest in the college life. But after she meets Jesse, from the rival all-male a cappella group, Beca has a new outlook and takes it upon herself to help the Bellas find their new look and sound and get back into the competition. ...<more>",https://fzmovies.net/movie-Pitch%20Perfect--hmp4.htm,https://fzmovies.net/imdb_images/Pitch%20Perfect.jpg
Music,Hollywood,High School Musical,2006,BluRay,"Troy Bolton and Gabriella Montez are two totally different teenagers who meet at a party while singing karaoke on New Year's Eve. One week later Troy goes back to his high school, East High, in New Mexico to find that Gabriella is a new student there. They quickly become close friends and accidentally audition for the school musical. After getting a callback, drama queen Sharpay Evans and her sidekick brother Ryan are furious. Then Chad, Troy's best friend and basketball teammate, and Taylor, Gabriella's new friend on the decathlon team, must find out a way to make Gabriella hate Troy. ...<more>",https://fzmovies.net/movie-High%20School%20Musical--hmp4.htm,https://fzmovies.net/imdb_images/High%20School%20Musical.jpg
Music,Hollywood,Purple Hearts,2022,WEB-DL,"In spite of their many differences, Cassie, a struggling singer-songwriter, and Luke, a troubled Marine, agree to marry solely for military benefits. But when tragedy strikes, the line between real and pretend begins to blur.Tags : love | singer | two word title | color in title...<more>",https://fzmovies.net/movie-Purple%20Hearts--hmp4.htm,https://fzmovies.net/imdb_images/Purple.Hearts.2022.jpg
Music,Hollywood,8 Mile,2002,BluRay,"A young rapper, struggling with every aspect of his life, wants to make it big but his friends and foes make this odyssey of rap harder than it may seem. ...<more>",https://fzmovies.net/movie-8%20Mile--hmp4.htm,https://fzmovies.net/imdb_images/8.Mile.2002.jpg
Music,Hollywood,The Lion King II: Simbas Pride,1998,BluRay,"Simba and Nala have a daughter, Kiara. Timon and Pumbaa are assigned to be her babysitters, but she easily escapes their care and ventures into the forbidden lands. There she meets a lion cub named Kovu and they become friends. What she and her parents do not know is that Kovu is the son of Zira - a banished follower of the now-dead Scar. She plans to raise Kovu to overthrow Simba and become the king of the Pride Lands. This tests not only Kiara and Kovu's relationship as they mature, but Simba's relationship with his daughter. ...<more>",https://fzmovies.net/movie-The%20Lion%20King%20II:%20Simbas%20Pride--hmp4.htm,https://fzmovies.net/imdb_images/The%20Lion%20King%20II:%20Simbas%20Pride.jpg
Music,Hollywood,Descendants 3,2019,WEBRip,The teenagers of Disney's most infamous villains return to the Isle of the Lost to recruit a new batch of villainous offspring to join them at Auradon Prep. ...<more>,https://fzmovies.net/movie-Descendants%203--hmp4.htm,https://fzmovies.net/imdb_images/Descendants.3.2019.jpg
