genre,category,title,year,distribution,description,url,cover_photo
Mystery,Hollywood,Fast X,2023,BluRay,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.Tags : shared universe | home invasion...<more>,https://fzmovies.net/movie-Fast%20X--hmp4.htm,https://fzmovies.net/imdb_images/Fast.X.2023.jpg
Mystery,Hollywood,Inception,2010,BluRay,"Dom Cobb is a skilled thief, the absolute best in the dangerous art of extraction, stealing valuable secrets from deep within the subconscious during the dream state, when the mind is at its most vulnerable. Cobb's rare ability has made him a coveted player in this treacherous new world of corporate espionage, but it has also made him an international fugitive and cost him everything he has ever loved. Now Cobb is being offered a chance at redemption. One last job could give him his life back but only if he can accomplish the impossible-inception. Instead of the perfect heist, Cobb and his team of specialists have to pull off the reverse: their task is not to steal an idea but to plant one. If they succeed, it could be the perfect crime. But no amount of careful planning or expertise can prepare the team for the dangerous enemy that seems to predict their every move. An enemy that only Cobb could have seen coming. ...<more>",https://fzmovies.net/movie-Inception--hmp4.htm,https://fzmovies.net/imdb_images/Inception.jpg
Mystery,Hollywood,Escape Room 2019,2019,BluRay,"Six strangers are given mysterious black boxes with tickets to an immersive escape room for a chance to win tons of money. Being locked in several rooms with extreme conditions, they discover the secrets behind the escape room and must fight to survive and to find a way out....<more>",https://fzmovies.net/movie-Escape%20Room%202019--hmp4.htm,https://fzmovies.net/imdb_images/Escape.Room.2019.jpg
Mystery,Hollywood,The Nun 2018,2018,BluRay,"When a young nun at a cloistered abbey in Romania takes her own life, a priest with a haunted past and a novitiate on the threshold of her final vows are sent by the Vatican to investigate. Together they uncover the order's unholy secret. Risking not only their lives but their faith and their very…Tags : violence...<more>",https://fzmovies.net/movie-The%20Nun%202018--hmp4.htm,https://fzmovies.net/imdb_images/The.Nun.2018.jpg
Mystery,Hollywood,Kiss and Kill,2017,HDRip,"A woman named Katy is blackmailed with photos of sexual nature into giving in to any of her blackmailer's whims. Seeing no other way out, she opts for deadly revenge.
...<more>",https://fzmovies.net/movie-Kiss%20and%20Kill--hmp4.htm,https://fzmovies.net/imdb_images/Kiss.and.Kill.2017.jpg
Mystery,Hollywood,The Batman 2022,2022,BluRay,"When the Riddler, a sadistic serial killer, begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.Tags : superhero | based on comic | dc comics | batman character...<more>",https://fzmovies.net/movie-The%20Batman%202022--hmp4.htm,https://fzmovies.net/imdb_images/The.Batman.2022.jpg
Mystery,Hollywood,Ant Man and the Wasp Quantumania,2023,BluRay,"Scott Lang and Hope Van Dyne, along with Hank Pym and Janet Van Dyne, explore the Quantum Realm, where they interact with strange creatures and embark on an adventure that goes beyond the limits of what they thought was possible.Tags : shared universe | superhero | marvel comics...<more>",https://fzmovies.net/movie-Ant%20Man%20and%20the%20Wasp%20Quantumania--hmp4.htm,https://fzmovies.net/imdb_images/Ant.Man.and.the.Wasp.Quantumania.2023.jpg
Mystery,Hollywood,The Invisible Man 2020,2020,BluRay,"The film follows Cecilia, who receives the news of her abusive ex-boyfriend's suicide. She begins to re-build her life for the better. However, her sense of reality is put into question when she begins to suspect her deceased lover is not actually dead. Written by MaxTags : murder | death | violence...<more>",https://fzmovies.net/movie-The%20Invisible%20Man%202020--hmp4.htm,https://fzmovies.net/imdb_images/The.Invisible.Man.2020.jpg
Mystery,Hollywood,Harry Potter and the Sorcerers Stone Part 1,2002,BluRay,"Rescued from the outrageous neglect of his aunt and uncle, a young boy with a great destiny proves his worth while attending Hogwarts School of Witchcraft and Wizardry....<more>",https://fzmovies.net/movie-Harry%20Potter%20and%20the%20Sorcerers%20Stone%20Part%201--hmp4.htm,https://fzmovies.net/imdb_images/Harry%20Potter%20and%20the%20Sorcerers%20Stone%20Part%201.jpg
Mystery,Hollywood,Annabelle Comes Home,2019,BluRay,"Determined to keep Annabelle from wreaking more havoc, demonologists Ed and Lorraine Warren bring the possessed doll to the locked artifacts room in their home, placing her ""safely"" behind sacred glass and enlisting a priest's holy blessing. But an unholy night of horror awaits as Annabelle awakens…Tags : sequel...<more>",https://fzmovies.net/movie-Annabelle%20Comes%20Home--hmp4.htm,https://fzmovies.net/imdb_images/Annabelle.Comes.Home.(2019)%20.jpg
Mystery,Hollywood,The Conjuring 2,2016,BluRay,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by a malicious spirit.,https://fzmovies.net/movie-The%20Conjuring%202--hmp4.htm,https://fzmovies.net/imdb_images/The.Conjuring.2.2016.jpg
Mystery,Hollywood,Harry Potter and the Deathly Hallows Part 7.2,2011,BluRay,"Harry, Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord.",https://fzmovies.net/movie-Harry%20Potter%20and%20the%20Deathly%20Hallows%20Part%207.2--hmp4.htm,https://fzmovies.net/imdb_images/Harry%20Potter%20and%20the%20Deathly%20Hallows%20Part%207.2.jpg
Mystery,Hollywood,Pokemon Detective Pikachu,2019,BluRay,"The story begins when ace detective Harry Goodman goes mysteriously missing, prompting his 21-year-old son Tim to find out what happened. Aiding in the investigation is Harry's former Pokémon partner, Detective Pikachu: a hilariously wise-cracking, adorable super-sleuth who is a puzzlement even to…...<more>",https://fzmovies.net/movie-Pokemon%20Detective%20Pikachu--hmp4.htm,https://fzmovies.net/imdb_images/Detective.Pikachu.2019.jpg
Mystery,Hollywood,Harry Potter and the Chamber of Secrets Part 2,2003,BluRay,"Harry ignores warnings not to return to Hogwarts, only to find the school plagued by a series of mysterious attacks and a strange voice haunting him.",https://fzmovies.net/movie-Harry%20Potter%20and%20the%20Chamber%20of%20Secrets%20Part%202--hmp4.htm,https://fzmovies.net/imdb_images/Harry%20Potter%20and%20the%20Chamber%20of%20Secrets%20Part%202.jpg
Mystery,Hollywood,The Maze Runner 1,2014,BRRip,"Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape...<more>",https://fzmovies.net/movie-The%20Maze%20Runner%201--hmp4.htm,https://fzmovies.net/imdb_images/The.Maze.Runner.2014.jpg
Mystery,Hollywood,Harry Potter and the Deathly Hallows Part 7.1,2010,BluRay,"As Harry races against time and evil to destroy the Horcruxes, he uncovers the existence of three most powerful objects in the wizarding world: the Deathly Hallows....<more>",https://fzmovies.net/movie-Harry%20Potter%20and%20the%20Deathly%20Hallows%20Part%207.1--hmp4.htm,https://fzmovies.net/imdb_images/Harry%20Potter%20and%20the%20Deathly%20Hallows%20Part%207.1.jpg
Mystery,Hollywood,Harry Potter and the Goblet of Fire Part 4,2005,BluRay,Harry finds himself selected as an underaged competitor in a dangerous multi-wizardary school competition.,https://fzmovies.net/movie-Harry%20Potter%20and%20the%20Goblet%20of%20Fire%20Part%204--hmp4.htm,https://fzmovies.net/imdb_images/Harry%20Potter%20and%20the%20Goblet%20of%20Fire%20Part%204.jpg
Mystery,Hollywood,Ava,2020,BluRay,"Ava is a deadly assassin who works for a black ops organization, traveling the globe specializing in high profile hits. When a job goes dangerously wrong she is forced to fight for her own survival.
...<more>",https://fzmovies.net/movie-Ava--hmp4.htm,https://fzmovies.net/imdb_images/Ava.2020.jpg
Mystery,Hollywood,Harry Potter and the Prisoner of Azkaban Part 3,2004,BluRay,"It's Harry's third year at Hogwarts; not only does he have a new ""Defense Against the Dark Arts"" teacher, but there is also trouble brewing. Convicted murderer Sirius Black has escaped the Wizards' Prison and is coming after Harry....<more>",https://fzmovies.net/movie-Harry%20Potter%20and%20the%20Prisoner%20of%20Azkaban%20Part%203--hmp4.htm,https://fzmovies.net/imdb_images/Harry%20Potter%20and%20the%20Prisoner%20of%20Azkaban%20Part%203.jpg
Mystery,Hollywood,Harry Potter and the Half-Blood Prince Part 6,2009,BluRay,"As Harry Potter begins his 6th year at Hogwarts School of Witchcraft and Wizardry, he discovers an old book marked mysteriously ""This book is the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past....<more>",https://fzmovies.net/movie-Harry%20Potter%20and%20the%20Half-Blood%20Prince%20Part%206--hmp4.htm,https://fzmovies.net/imdb_images/Harry%20Potter%20and%20the%20Half-Blood%20Prince%20Part%206.jpg
Mystery,Hollywood,Blade Runner 2049,2017,BluRay,"A young blade runner's discovery of a long-buried secret leads him to track down former blade runner Rick Deckard, who's been missing for thirty years....<more>",https://fzmovies.net/movie-Blade%20Runner%202049--hmp4.htm,https://fzmovies.net/imdb_images/Blade.Runner.2049.2017.jpg
Mystery,Hollywood,Harry Potter and the Order of the Phoenix Part 5,2007,BluRay,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts....<more>",https://fzmovies.net/movie-Harry%20Potter%20and%20the%20Order%20of%20the%20Phoenix%20Part%205--hmp4.htm,https://fzmovies.net/imdb_images/Harry%20Potter%20and%20the%20Order%20of%20the%20Phoenix%20Part%205.jpg
Mystery,Hollywood,Underwater,2020,BluRay,A crew of aquatic researchers work to get to safety after an earthquake devastates their subterranean laboratory. But the crew has more than the ocean seabed to fear. Tags : ocean...<more>,https://fzmovies.net/movie-Underwater--hmp4.htm,https://fzmovies.net/imdb_images/Underwater.2020.jpg
Mystery,Hollywood,Scream 2022,2022,BluRay,"Twenty-five years after the original series of murders in Woodsboro, a new Ghostface emerges, and Sidney Prescott must return to uncover the truth.Tags : masked killer...<more>",https://fzmovies.net/movie-Scream%202022--hmp4.htm,https://fzmovies.net/imdb_images/Scream.2022.jpg
Mystery,Hollywood,The Grudge 2020,2020,BluRay,"After a young mother murders her family in her own house, a single mother and young detective tries to investigate and solve the case. Later, she discovers the house is cursed by a vengeful ghost that dooms those who enter it with a violent death. Now, she runs to save herself and her son from…Tags : remake | ghost...<more>",https://fzmovies.net/movie-The%20Grudge%202020--hmp4.htm,https://fzmovies.net/imdb_images/The.Grudge.2019.jpg
Mystery,Hollywood,Puss in Boots The Last Wish,2022,BluRay,Puss in Boots discovers that his passion for adventure has taken its toll: he has burned through eight of his nine lives. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.Tags : shared universe | sequel | second part...<more>,https://fzmovies.net/movie-Puss%20in%20Boots%20The%20Last%20Wish--hmp4.htm,https://fzmovies.net/imdb_images/Puss.in.Boots.The.Last.Wish.2022.jpg
Mystery,Hollywood,The Conjuring 3 The Devil Made Me Do It,2021,BRRip,"A chilling story of terror, murder and unknown evil that shocked even experienced real-life paranormal investigators Ed and Lorraine Warren. One of the most sensational cases from their files, it starts with a fight for the soul of a young boy, then takes them beyond anything they'd ever seen…Tags : demon...<more>",https://fzmovies.net/movie-The%20Conjuring%203%20The%20Devil%20Made%20Me%20Do%20It--hmp4.htm,https://fzmovies.net/imdb_images/The.Conjuring.The.Devil.Made.Me.Do.It.2021.jpg
Mystery,Hollywood,Murder Mystery,2019,WEB-DL,"A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire. ...<more>",https://fzmovies.net/movie-Murder%20Mystery--hmp4.htm,https://fzmovies.net/imdb_images/Murder.Mystery.2019.jpg
Mystery,Hollywood,Get Out,2017,BluRay,A young African-American man visits his Caucasian girlfriend's mysterious family estate.,https://fzmovies.net/movie-Get%20Out--hmp4.htm,https://fzmovies.net/imdb_images/Get.Out.2017.jpg
Mystery,Hollywood,Red Sparrow,2018,BluRay,"Ballerina Dominika Egorova is recruited to 'Sparrow School,' a Russian intelligence service where she is forced to use her body as a weapon. Her first mission, targeting a C.I.A. agent, threatens to unravel the security of both nations.
...<more>",https://fzmovies.net/movie-Red%20Sparrow--hmp4.htm,https://fzmovies.net/imdb_images/Red.Sparrow.2018.jpg
Mystery,Hollywood,Mama,2013,BluRay,Annabel and Lucas are faced with the challenge of raising his young nieces that were left alone in the forest for 5 years.... but how alone were they?,https://fzmovies.net/movie-Mama--hmp4.htm,https://fzmovies.net/imdb_images/Mama.jpg
Mystery,Hollywood,The House with a Clock in Its Walls,2018,BluRay,"Lewis Barnavelt, after losing his parents, is sent to Michigan to live with his uncle Jonathan. He discovers his uncle is a warlock, and enters a world of magic and sorcery. But this power is not limited to good people: Lewis learns of Isaac Izard, an evil wizard who constructed a magical clock…Tags : child | neighbor | magician...<more>",https://fzmovies.net/movie-The%20House%20with%20a%20Clock%20in%20Its%20Walls--hmp4.htm,https://fzmovies.net/imdb_images/The.House.with.a.Clock.In.Its.Walls.2018.jpg
Mystery,Hollywood,Annabelle Creation 2017,2017,BluRay,"Twelve years after the tragic death of their little girl, a dollmaker and his wife welcome a nun and several girls from a shuttered orphanage into their home, soon becoming the target of the dollmaker's possessed creation, Annabelle....<more>",https://fzmovies.net/movie-Annabelle%20Creation%202017--hmp4.htm,https://fzmovies.net/imdb_images/Annabelle.Creations.2017.jpg
Mystery,Hollywood,Knives Out,2019,BluRay,"When renowned crime novelist Harlan Thrombey (Christopher Plummer) is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc (Daniel Craig) is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc…Tags : house | police...<more>",https://fzmovies.net/movie-Knives%20Out--hmp4.htm,https://fzmovies.net/imdb_images/Knives.Out.2019.jpg
Mystery,Hollywood,Knock Knock,2015,BluRay,"When a devoted husband and father is left home alone for the weekend, two stranded young women unexpectedly knock on his door for help. What starts out as a kind gesture results in a dangerous seduction and a deadly game of cat and mouse....<more>",https://fzmovies.net/movie-Knock%20Knock--hmp4.htm,https://fzmovies.net/imdb_images/knock.knock.2015.jpg
Mystery,Hollywood,Limitless,2011,BluRay,"An action-thriller about a writer who takes an experimental drug that allows him to use 100 percent of his mind. As one man evolves into the perfect version of himself, forces more corrupt than he can imagine mark him for assassination. Out-of-work writer Eddie Morra's (Cooper) rejection by girlfriend Lindy (Abbie Cornish) confirms his belief that he has zero future. That all vanishes the day an old friend introduces Eddie to NZT, a designer pharmaceutical that makes him laser focused and more confident than any man alive. Now on an NZT-fueled odyssey, everything Eddie's read, heard or seen is instantly organized and available to him. As the former nobody rises to the top of the financial world, he draws the attention of business mogul Carl Van Loon (De Niro), who sees this enhanced version of Eddie as the tool to make billions. But brutal side effects jeopardize his meteoric ascent. With a dwindling stash and hit men who will eliminate him to get the NZT, Eddie must stay wired long enough to elude capture and fulfill his destiny. If he can't, he will become just another victim who thought he'd found invincibility in a bottle. ...<more>",https://fzmovies.net/movie-Limitless--hmp4.htm,https://fzmovies.net/imdb_images/Limitless.jpg
Mystery,Hollywood,Atomic Blonde 2017,2017,BluRay,An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.,https://fzmovies.net/movie-Atomic%20Blonde%202017--hmp4.htm,https://fzmovies.net/imdb_images/Atomic.Blonde.2017.jpg
Mystery,Hollywood,The Bourne Legacy,2012,BluRay,"Aaron Cross, a new hero, experiences life-or-death stakes that have been triggered by previous events.",https://fzmovies.net/movie-The%20Bourne%20Legacy--hmp4.htm,https://fzmovies.net/imdb_images/The%20Bourne%20Legacy.jpg
Mystery,Hollywood,Scream VI,2023,BluRay,"In the next installment, the survivors of the Ghostface killings leave Woodsboro behind and start a fresh chapter in New York City.Tags : knife | new york city...<more>",https://fzmovies.net/movie-Scream%20VI--hmp4.htm,https://fzmovies.net/imdb_images/Scream.VI.2023.jpg
Mystery,Hollywood,Safe House,2012,BluRay,"A young CIA agent is tasked with looking after a fugitive in a safe house. But when the safe house is attacked, he finds himself on the run with his charge....<more>",https://fzmovies.net/movie-Safe%20House--hmp4.htm,https://fzmovies.net/imdb_images/Safe%20House.jpg
Mystery,Hollywood,I Robot,2003,BluRay,"Set in a future Earth (2035 A.D.) where robots are common assistants and workers for their human owners, this is the story of ""robotophobic"" Chicago Police Detective Del Spooner's investigation into the murder of Dr. Alfred Lanning, who works at U.S. Robotics, in which a robot, Sonny , appears to be implicated, even though that would mean the robot had violated the Three Laws of Robotics, which is apparently impossible. It seems impossible because.. if robots can break those laws, there's nothing to stop them from taking over the world, as humans have grown to become completely dependent upon their robots. Or maybe... they already have? Aiding Spooner in his investigation is a psychologist, Dr. Susan Calvin, who specializes in the psyches of robots. ...<more>",https://fzmovies.net/movie-I%20Robot--hmp4.htm,https://fzmovies.net/imdb_images/I%20Robot.jpg
Mystery,Hollywood,The Departed,2006,BluRay,"In South Boston, the state police force is waging war on Irish-American organized crime. Young undercover cop Billy Costigan is assigned to infiltrate the mob syndicate run by gangland chief Frank Costello. While Billy quickly gains Costello's confidence, Colin Sullivan, a hardened young criminal who has infiltrated the state police as an informer for the syndicate, is rising to a position of power in the Special Investigation Unit. Each man becomes deeply consumed by his double life, gathering information about the plans and counter-plans of the operations he has penetrated. But when it becomes clear to both the mob and the police that there's a mole in their midst, Billy and Colin are suddenly in danger of being caught and exposed to the enemy-and each must race to uncover the identity of the other man in time to save himself. But is either willing to turn on the friends and comrades they've made during their long stints undercover? ...<more>",https://fzmovies.net/movie-The%20Departed--hmp4.htm,https://fzmovies.net/imdb_images/The%20Departed.jpg
Mystery,Hollywood,The Lovebirds,2020,BluRay,"A couple (Issa Rae and Kumail Nanjiani) experiences a defining moment in their relationship when they are unintentionally embroiled in a murder mystery. As their journey to clear their names takes them from one extreme - and hilarious - circumstance to the next, they must figure out how they, and…Tags : bicycle | murder...<more>",https://fzmovies.net/movie-The%20Lovebirds--hmp4.htm,https://fzmovies.net/imdb_images/The.Lovebirds.2020.jpg
Mystery,Hollywood,Salt,2010,BluRay,A CIA agent goes on the run after a defector accuses her of being a Russian spy.,https://fzmovies.net/movie-Salt--hmp4.htm,https://fzmovies.net/imdb_images/Salt.2010.jpg
Mystery,Hollywood,Escape Room Tournament of Champions,2021,BluRay,"Six people unwittingly find themselves locked in another series of escape rooms, slowly uncovering what they have in common to survive. Joining forces with two of the original survivors, they soon discover they've all played the gameTags : second part | grindhouse film...<more>",https://fzmovies.net/movie-Escape%20Room%20Tournament%20of%20Champions--hmp4.htm,https://fzmovies.net/imdb_images/Escape_Room_Tournament_Of_Champions_(2021).jpg
