genre,category,title,year,distribution,description,url,cover_photo
Romance,Hollywood,Fifty Shades of Grey,2015,BluRay,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.",https://fzmovies.net/movie-Fifty%20Shades%20of%20Grey--hmp4.htm,https://fzmovies.net/imdb_images/%20Fifty.Shades.of.Grey.2015.jpg
Romance,Hollywood,After,2019,BluRay,"Based on Anna Todd's novel, AFTER follows Tessa (Langford), a dedicated student, dutiful daughter and loyal girlfriend to her high school sweetheart, as she enters her first semester in college. Armed with grand ambitions for her future, her guarded world opens up when she meets the dark and…...<more>",https://fzmovies.net/movie-After%20--hmp4.htm,https://fzmovies.net/imdb_images/After.2019.jpg
Romance,Hollywood,The Twilight Saga - Breaking Dawn - Part 2,2012,BluRay,"Bella is enjoying her new life and new powers, after the birth of their daughter, Renesmee. Soon, however, their family bliss is threatened again, by a new menace. Vampire Irina believes a child like Renesmee could challenge the power and existence of the Volturi. As Irina rallies the Volturi to destroy this potential threat, Bella and the Cullens - together with any allies they can assemble - are preparing to fight a crucial, ultimate battle, to protect their family. ...<more>",https://fzmovies.net/movie-The%20Twilight%20Saga%20-%20Breaking%20Dawn%20-%20Part%202--hmp4.htm,https://fzmovies.net/imdb_images/The%20Twilight%20Saga:%20Breaking%20Dawn%20-%20Part%202.jpg
Romance,Hollywood,Alita Battle Angel,2019,BluRay,"Alita is a creation from an age of despair. Found by the mysterious Dr. Ido while trolling for cyborg parts, Alita becomes a lethal, dangerous being. She cannot remember who she is, or where she came from. But to Dr. Ido, the truth is all too clear. She is the one being who can break the cycle of…Tags : cyberpunk | dystopia | cyborg...<more>",https://fzmovies.net/movie-Alita%20Battle%20Angel--hmp4.htm,https://fzmovies.net/imdb_images/Alita.Battle.Angel.2019.jpg
Romance,Hollywood,Aladdin,2019,BluRay,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,https://fzmovies.net/movie-Aladdin--hmp4.htm,https://fzmovies.net/imdb_images/Aladdin.2019.jpg
Romance,Hollywood,Fifty Shades Freed,2018,BluRay,"Anastasia and Christian get married, but Jack Hyde continues to threaten their relationship.",https://fzmovies.net/movie-Fifty%20Shades%20Freed--hmp4.htm,https://fzmovies.net/imdb_images/Fifty.Shades.Freed.2018.jpg
Romance,Hollywood,Thor - Love and Thunder,2022,BluRay,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",https://fzmovies.net/movie-Thor%20-%20Love%20and%20Thunder--hmp4.htm,https://fzmovies.net/imdb_images/Thor.Love.and.Thunder.2022.jpg
Romance,Hollywood,365 Days,2020,WEB-DL,"Massimo Torricelli, a young and handsome boss of a Sicilian Mafia family, has no other option but to takeover after his father has been assassinated. Laura is a sales director in a luxurious hotel in Warsaw. She has a successful career, but her private life lacks passion. She is taking one last…...<more>",https://fzmovies.net/movie-365%20Days--hmp4.htm,https://fzmovies.net/imdb_images/365.Days.2020.jpg
Romance,Hollywood,Titanic,1997,BluRay,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fianc�, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning. ...<more>",https://fzmovies.net/movie-Titanic--hmp4.htm,https://fzmovies.net/imdb_images/Titanic.jpg
Romance,Hollywood,Fifty Shades Darker,2017,BluRay,"While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.",https://fzmovies.net/movie-Fifty%20Shades%20Darker--hmp4.htm,https://fzmovies.net/imdb_images/Fifty.Shades.Darker.2017.jpg
Romance,Hollywood,What Men Want,2019,BluRay,"A woman is boxed out by the male sports agents in her profession, but gains an unexpected edge over them when she develops the ability to hear men's thoughts. Tags : competition | agent...<more>",https://fzmovies.net/movie-What%20Men%20Want--hmp4.htm,https://fzmovies.net/imdb_images/What.Men.Want.(2019).jpg
Romance,Hollywood,The Twilight Saga - Breaking Dawn - Part 1,2011,BluRay,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.",https://fzmovies.net/movie-The%20Twilight%20Saga%20-%20Breaking%20Dawn%20-%20Part%201--hmp4.htm,https://fzmovies.net/imdb_images/The%20Twilight%20Saga:%20Breaking%20Dawn%20-%20Part%201.jpg
Romance,Hollywood,After We Collided,2020,BluRay,"Tessa has everything to lose. Hardin has nothing to lose. - except her. After We Collided - Life will never be the same. After a tumultuous beginning to their relationship, Tessa and Hardin were on the path to making things work. Tessa knew Hardin could be cruel, but when a bombshell revelation is…Tags : sequel...<more>",https://fzmovies.net/movie-After%20We%20Collided--hmp4.htm,https://fzmovies.net/imdb_images/After_We_Collided_2020.jpg
Romance,Hollywood,Little,2019,BluRay,A woman is transformed into her younger self at a point in her life when the pressures of adulthood become too much to bear.,https://fzmovies.net/movie-Little--hmp4.htm,https://fzmovies.net/imdb_images/Little.2019.jpg
Romance,Hollywood,The Lost City 2022,2022,BluRay,A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.Tags : writer | model...<more>,https://fzmovies.net/movie-The%20Lost%20City%202022--hmp4.htm,https://fzmovies.net/imdb_images/The.Lost.City.2022.jpg
Romance,Hollywood,Kiss and Kill,2017,HDRip,"A woman named Katy is blackmailed with photos of sexual nature into giving in to any of her blackmailer's whims. Seeing no other way out, she opts for deadly revenge.
...<more>",https://fzmovies.net/movie-Kiss%20and%20Kill--hmp4.htm,https://fzmovies.net/imdb_images/Kiss.and.Kill.2017.jpg
Romance,Hollywood,Life in a Year,2020,WEB-DL,"The movie follows 17-year-old Daryn who finds out that his girlfriend is dying. He sets out to give her an entire life in the last year she has left.
...<more>",https://fzmovies.net/movie-Life%20in%20a%20Year--hmp4.htm,https://fzmovies.net/imdb_images/Life.in.a.Year.2020.jpg
Romance,Hollywood,The Twilight Saga - New Moon,2009,BluRay,"Edward leaves Bella after an attack that nearly claimed her life, and in her depression she falls into yet another paranormal relationship- this time with werewolf Jacob Black....<more>",https://fzmovies.net/movie-The%20Twilight%20Saga%20-%20New%20Moon%20--hmp4.htm,https://fzmovies.net/imdb_images/The%20Twilight%20Saga:%20New%20Moon%20.jpg
Romance,Hollywood,Crazy Rich Asians,2018,BluRay,"The story follows Rachel Chu (Wu), an American-born Chinese economics professor, who travels to her boyfriend Nick's (Golding) hometown of Singapore for his best friend's wedding. Before long, his secret is out: Nick is from a family that is impossibly wealthy, he's perhaps the most eligible…...<more>",https://fzmovies.net/movie-Crazy%20Rich%20Asians--hmp4.htm,https://fzmovies.net/imdb_images/Crazy.Rich.Asians.2018.jpg
Romance,Hollywood,The Twilight Saga - Eclipse,2010,BluRay,"As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob....<more>",https://fzmovies.net/movie-The%20Twilight%20Saga%20-%20Eclipse--hmp4.htm,https://fzmovies.net/imdb_images/The%20Twilight%20Saga:%20Eclipse.jpg
Romance,Hollywood,Friends with Benefits,2011,BluRay,"Jamie (Mila Kunis) is a New York head-hunter trying to sign Los Angeles-based Dylan (Justin Timberlake) for her client. When he takes the job and makes the move, they quickly become friends. Their friendship turns into a friendship with benefits, but with Jamie's emotionally damaged past and Dylan's history of being emotionally unavailable, they have to try to not fall for each other the way Hollywood romantic comedies dictate.",https://fzmovies.net/movie-Friends%20with%20Benefits--hmp4.htm,https://fzmovies.net/imdb_images/Friends%20with%20Benefits.jpg
Romance,Hollywood,The Little Mermaid 2023,2023,BluRay,A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince....<more>,https://fzmovies.net/movie-The%20Little%20Mermaid%202023--hmp4.htm,https://fzmovies.net/imdb_images/The.Little.Mermaid.2023.jpg
Romance,Hollywood,Five Feet Apart,2019,BluRay,A pair of teenagers with life-threatening illnesses meet in a hospital and fall in love. Tags : teenager...<more>,https://fzmovies.net/movie-Five%20Feet%20Apart--hmp4.htm,https://fzmovies.net/imdb_images/Five.Feet.Apart.2019.jpg
Romance,Hollywood,American Pie 1,1999,BluRay,Four teenage boys enter a pact to lose their virginity by prom night.,https://fzmovies.net/movie-American%20Pie%201--hmp4.htm,https://fzmovies.net/imdb_images/American%20Pie%201.jpg
Romance,Hollywood,365 Days This Day,2022,WEB-DL,Laura and Massimo are back and stronger than ever. But Massimo's family ties and a mysterious man bidding for Laura's heart complicate the lovers' lives.Tags : sequel...<more>,https://fzmovies.net/movie-365%20Days%20This%20Day--hmp4.htm,https://fzmovies.net/imdb_images/365.Days.This.Day.2022.jpg
Romance,Hollywood,Twilight 2008,2008,BluRay,A teenage girl risks everything when she falls in love with a vampire.,https://fzmovies.net/movie-Twilight%202008--hmp4.htm,https://fzmovies.net/imdb_images/Twilight.2008%20.jpg
Romance,Hollywood,The Kissing Booth,2018,WEB-DL,A high school student is forced to confront her secret crush at a kissing booth.,https://fzmovies.net/movie-The%20Kissing%20Booth--hmp4.htm,https://fzmovies.net/imdb_images/The.Kissing.Booth.2018.jpg
Romance,Hollywood,Mr and Mrs Smith,2004,BluRay,"John and Jane Smith are a normal married couple, living a normal life in a normal suburb, working normal jobs...well, if you can call secretly being assassins ""normal"". But neither Jane nor John knows about their spouse's secret, until they are surprised to find each other as targets! But on their quest to kill each other, they learn a lot more about each other than they ever did in five (or six) years of marriage. ...<more>",https://fzmovies.net/movie-Mr%20and%20Mrs%20Smith--hmp4.htm,https://fzmovies.net/imdb_images/Mr%20and%20Mrs%20Smith.jpg
Romance,Hollywood,The Kissing Booth 2,2020,WEB-DL,"Elle Evans (Joey King) just had the most romantic summer of her life with her reformed bad-boy boyfriend Noah Flynn (Jacob Elordi). But now Noah's off to Harvard, and Elle's headed back to high school for her senior year. She'll have to juggle a long-distance relationship, getting into her dream…Tags : love | sequel...<more>",https://fzmovies.net/movie-The%20Kissing%20Booth%202--hmp4.htm,https://fzmovies.net/imdb_images/The.Kissing.Booth.2.2020.jpg
