genre,category,title,year,distribution,description,url,cover_photo
Sport,Hollywood,Creed 2,2018,BluRay,"Years after Adonis Creed made a name for himself under Rocky Balboa's mentorship, the young boxer becomes the Heavyweight Champion of the World. While life is good with that victory and his marriage to Bianca, trouble comes to Philadelphia when Ivan Drago, the Russian boxer who killed Adonis'…Tags : baby | revenge...<more>",https://fzmovies.net/movie-Creed%202--hmp4.htm,https://fzmovies.net/imdb_images/Creed.2.2018.jpg
Sport,Hollywood,Creed III,2023,BluRay,"Adonis has been thriving in both his career and family life, but when a childhood friend and former boxing prodigy resurfaces, the face-off is more than just a fight.Tags : sequel | third part...<more>",https://fzmovies.net/movie-Creed%20III--hmp4.htm,https://fzmovies.net/imdb_images/Creed.III.2023.jpg
Sport,Hollywood,Creed,2015,BluRay,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed....<more>",https://fzmovies.net/movie-Creed--hmp4.htm,https://fzmovies.net/imdb_images/Creed.jpg
Sport,Hollywood,Shaolin Soccer,2001,BluRay,A young Shaolin follower reunites with his discouraged brothers to form a soccer team using their martial art skills to their advantage.,https://fzmovies.net/movie-Shaolin%20Soccer--hmp4.htm,https://fzmovies.net/imdb_images/Shaolin%20Soccer.jpg
Sport,Hollywood,Fighting with My Family,2019,BluRay,A former wrestler and his family make a living performing at small venues around the country while his kids dream of joining World Wrestling Entertainment....<more>,https://fzmovies.net/movie-Fighting%20with%20My%20Family--hmp4.htm,https://fzmovies.net/imdb_images/Fighting.with.My.Family.2019.jpg
Sport,Hollywood,Ford v Ferrari,2019,BluRay,"American car designer Carroll Shelby and driver Ken Miles battle corporate interference, the laws of physics and their own personal demons to build a revolutionary race car for Ford and challenge Ferrari at the 24 Hours of Le Mans in 1966. ...<more>",https://fzmovies.net/movie-Ford%20v%20Ferrari--hmp4.htm,https://fzmovies.net/imdb_images/Ford.v.Ferrari.2019.jpg
Sport,Hollywood,Ip Man,2008,BluRay,"In 1935 in Foshan, south China, there are martial arts schools on every street corner. Ip Man is the undisputed martial arts champion, yet he has not devoted himself to teaching. Despite this, it seems that all the kung fu masters of the city are eager to fight him to improve their reputation.Tags : fight...<more>",https://fzmovies.net/movie-Ip%20Man--hmp4.htm,https://fzmovies.net/imdb_images/Ip.Man.2008.jpg
Sport,Hollywood,Space Jam A New Legacy,2021,BluRay,"A rogue artificial intelligence kidnaps the son of famed basketball player LeBron James, who then has to work with Bugs Bunny to win a basketball game.Tags : second part | 3 dimensional...<more>",https://fzmovies.net/movie-Space%20Jam%20A%20New%20Legacy--hmp4.htm,https://fzmovies.net/imdb_images/Space.Jam.a.New.Legacy.2021.jpg
Sport,Hollywood,Real Steel,2011,BluRay,"A future-set story where robot boxing is a popular sport and centered on a struggling promoter (Jackman) who thinks he's found a champion in a discarded robot. During his hopeful rise to the top, he also discovers he has an 11-year-old son who wants to know his father. ...<more>",https://fzmovies.net/movie-Real%20Steel--hmp4.htm,https://fzmovies.net/imdb_images/Real%20Steel.jpg
Sport,Hollywood,Cars,2006,BluRay,"While traveling to California for the dispute of the final race of the Piston Cup against The King and Chick Hicks, the famous Lightning McQueen accidentally damages the road of the small town Radiator Springs and is sentenced to repair it. Lightning McQueen has to work hard and finds friendship and love in the simple locals, changing its values during his stay in the small town and becoming a true winner. ...<more>",https://fzmovies.net/movie-Cars--hmp4.htm,https://fzmovies.net/imdb_images/Cars.jpg
Sport,Hollywood,Love and Basketball 2000,2000,BluRay,"In 1981 in L.A., Monica moves in next door to Quincy. They're 11, and both want to play in the NBA, just like Quincy's dad. Their love-hate relationship lasts into high school, with ... ...<more>",https://fzmovies.net/movie-Love%20and%20Basketball%202000--hmp4.htm,https://fzmovies.net/imdb_images/Love.and.Basketball.2000.jpg
Sport,Hollywood,Coach Carter,2005,BluRay,"Controversy surrounds high school basketball coach Ken Carter after he benches his entire team for breaking their academic contract with him.
Controversy surrounds high school basketball coach Ken Carter after he benches his entire team for breaking their academic contract with him.
...<more>",https://fzmovies.net/movie-Coach%20Carter--hmp4.htm,https://fzmovies.net/imdb_images/Coach.Carter.2005.jpg
Sport,Hollywood,Uncle Drew,2018,BluRay,"After draining his life savings to enter a team in the Rucker Classic street ball tournament in Harlem, Dax (Lil Rel Howery) is dealt a series of unfortunate setbacks, including losing his team to his longtime rival (Nick Kroll). Desperate to win the tournament and the cash prize, Dax stumbles upon…Tags : basketball...<more>",https://fzmovies.net/movie-Uncle%20Drew--hmp4.htm,https://fzmovies.net/imdb_images/Uncle.Drew.2018.jpg
Sport,Hollywood,The Blind Side,2009,BluRay,"Based on the true story of Leigh Anne and Sean Tuohy who take in a homeless teenage African-American, Michael ""Big Mike"" Oher. Michael has no idea who his father is and his mother is a drug addict. Michael has had little formal education and few skills to help him learn. Leigh Anne soon takes charge however, as is her nature, ensuring that the young man has every opportunity to succeed. When he expresses an interest in football, she goes all out to help him, including giving the coach a few ideas on how best to use Michael's skills. They not only provide him with a loving home, but hire a tutor to help him improve his grades to the point where he would qualify for an NCAA Division I athletic scholarship. Michael Oher was the first-round pick of the Baltimore Ravens in the 2009 NFL draft. ...<more>",https://fzmovies.net/movie-The%20Blind%20Side%20--hmp4.htm,https://fzmovies.net/imdb_images/The%20Blind%20Side%20.jpg
Sport,Hollywood,Hustle 2022,2022,WEB-DL,A washed-up basketball scout discovers a phenomenal street ball player while in Spain and sees the prospect as his opportunity to get back into the NBA.Tags : girl | basketball...<more>,https://fzmovies.net/movie-Hustle%202022--hmp4.htm,https://fzmovies.net/imdb_images/Hustle.2022.jpg
Sport,Hollywood,The Way Back 2020,2020,BluRay,"Back in high school, Jack Cunningham had everything going for him. A basketball phenom, he could have punched his ticket to college or even the pros, but, instead, he chose to walk away from the game, forfeiting his future. Jack's glory days are long gone...but, as it turns out, not forgotten.Tags : widow | coach | basketball | alcoholism...<more>",https://fzmovies.net/movie-The%20Way%20Back%202020--hmp4.htm,https://fzmovies.net/imdb_images/The.Way.Back.2020.jpg
Sport,Hollywood,Southpaw,2015,BluRay,Boxer Billy Hope turns to trainer Tick Willis to help him get his life back on track after losing his wife in a tragic accident and his daughter to child protection services....<more>,https://fzmovies.net/movie-Southpaw--hmp4.htm,https://fzmovies.net/imdb_images/Southpaw.2015.jpg
Sport,Hollywood,Undisputed,2002,BluRay,"George ""Ice Man"" Chambers (Rhames) is a top ranked heavyweight boxer. However Chambers has his world turned upside down when he is accused of rape and sent to prison. Upon his arrival he hears talk about Monroe Hutchen (Snipes) who is the top ranked prison boxing champ 10 years running. Immediately there is bad blood with Chambers not wanting to be second to no one which leads to a lunch room fight between the men. Figuring it will be a good way to make money fellow convict Emmanuel 'Mendy' Ripstein (Peter Falk) sets up a prison boxing match between the two men to decide who is the real UNDISPUTED champ. Michael Rooker plays a guard, Fisher Stevens, John Seda, and Master P co star. ...<more>",https://fzmovies.net/movie-Undisputed--hmp4.htm,https://fzmovies.net/imdb_images/Undisputed.jpg
Sport,Hollywood,Overcomer,2019,BluRay,"Life changes overnight for Coach John Harrison when his high school basketball team and state championship dreams are crushed under the weight of unexpected news. When the largest manufacturing plant shuts down and hundreds of families leave their town, John questions how he and his family will…Tags : coach...<more>",https://fzmovies.net/movie-Overcomer--hmp4.htm,https://fzmovies.net/imdb_images/Overcomer.2019.jpg
Sport,Hollywood,Point Break 2015,2015,BluRay,"A young FBI agent infiltrates an extraordinary team of extreme sports athletes he suspects of masterminding a string of unprecedented, sophisticated corporate heists.
...<more>",https://fzmovies.net/movie-Point%20Break%202015--hmp4.htm,https://fzmovies.net/imdb_images/Point.Break.2015.jpg
Sport,Hollywood,Rumble,2021,BluRay,"In a world where monster wrestling is a global sport and monsters are superstar athletes, teenage Winnie seeks to follow in her father's footsteps by coaching a loveable underdog monster into a champion.Tags : cgi animation | monster | one word title...<more>",https://fzmovies.net/movie-Rumble--hmp4.htm,https://fzmovies.net/imdb_images/Rumble.2021.jpg
Sport,Hollywood,Gran Turismo,2023,BluRay,"Based on the unbelievable, inspiring true story of a team of underdogs - a struggling, working-class gamer, a failed former race car driver, and an idealistic motorsport exec - who risk it all to take on the most elite sport in th...Tags : car | teenager | game | based on video game...<more>",https://fzmovies.net/movie-Gran%20Turismo--hmp4.htm,https://fzmovies.net/imdb_images/Gran.Turismo.2023.jpg
Sport,Hollywood,The Longest Yard 2005,2005,BluRay,Prison inmates form a football team to challenge the prison guards.,https://fzmovies.net/movie-The%20Longest%20Yard%202005--hmp4.htm,https://fzmovies.net/imdb_images/The.Longest.Yard.2005.jpg
Sport,Hollywood,White Men Cant Jump 2023,2023,WEBRip,A remake of the 1992 film about a pair of basketball hustlers who team up to earn extra cash.Tags : remake | basketball...<more>,https://fzmovies.net/movie-White%20Men%20Cant%20Jump%202023--hmp4.htm,https://fzmovies.net/imdb_images/White.Men.Cant.Jump.2023.jpg
Sport,Hollywood,Warrior 2011,2011,BluRay,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother. ...<more>",https://fzmovies.net/movie-Warrior%202011--hmp4.htm,https://fzmovies.net/imdb_images/Warrior.2011.jpg
Sport,Hollywood,King Richard,2021,BluRay,A look at how tennis superstars Venus and Serena Williams became who they are after the coaching from their father Richard Williams.Tags : father...<more>,https://fzmovies.net/movie-King%20Richard--hmp4.htm,https://fzmovies.net/imdb_images/King.Richard.2021.jpg
Sport,Hollywood,Kickboxer 1,1989,BluRay,"Kurt Sloan is the corner-man for his brother, U.S. kickboxing champion Eric Sloan. When Kurt witnesses his brother become maliciously paralyzed in the ring by Thailand champion Tong Po, Kurt vows revenge. With the help of Zion, a kickboxing trainer who lives in a remote area of Thailand, Kurt trains for the fight of his life. ...<more>",https://fzmovies.net/movie-Kickboxer%201--hmp4.htm,https://fzmovies.net/imdb_images/Kickboxer.jpg
