genre,category,title,year,distribution,description,url,cover_photo
War,Hollywood,300 Rise of an Empire,2014,BluRay,"Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy....<more>",https://fzmovies.net/movie-300%20Rise%20of%20an%20Empire--hmp4.htm,https://fzmovies.net/imdb_images/300%20Rise%20of%20an%20Empire.jpg
War,Hollywood,Without Remorse,2021,BluRay,"An elite Navy SEAL uncovers an international conspiracy while seeking justice for the murder of his pregnant wife in Tom Clancy's Without Remorse, the explosive origin story of action hero John Clark - one of the most popular characters in author Tom Clancy's Jack Ryan universe. When a squad of…...<more>",https://fzmovies.net/movie-Without%20Remorse--hmp4.htm,https://fzmovies.net/imdb_images/Without.Remorse.2021.jpg
War,Hollywood,Sisu,2023,BluRay,"When an ex-soldier who discovers gold in the Lapland wilderness tries to take the loot into the city, Nazi soldiers led by a brutal SS officer battle him.Tags : world war two | gold...<more>",https://fzmovies.net/movie-Sisu--hmp4.htm,https://fzmovies.net/imdb_images/Sisu.2022.jpg
War,Hollywood,Hacksaw Ridge,2016,BluRay,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to win the Medal of Honor without firing a shot....<more>",https://fzmovies.net/movie-Hacksaw%20Ridge--hmp4.htm,https://fzmovies.net/imdb_images/Hacksaw_Ridge_(2016).jpg
War,Hollywood,The Outpost,2020,BluRay,"A small team of U.S. soldiers battle against hundreds of Taliban fighters in Afghanistan.
Tags : battle...<more>",https://fzmovies.net/movie-The%20Outpost--hmp4.htm,https://fzmovies.net/imdb_images/The.Outpost.2020.jpg
War,Hollywood,Battleship,2012,BluRay,"Based on the classic Hasbro naval combat game, Battleship is the story of an international fleet of ships who come across an alien armada while on Naval war games exercise. An intense battle is fought on sea, land and air. What do the aliens want? ...<more>",https://fzmovies.net/movie-Battleship--hmp4.htm,https://fzmovies.net/imdb_images/Battleship.jpg
War,Hollywood,Beasts of No Nation,2015,BluRay,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country.",https://fzmovies.net/movie-Beasts%20of%20No%20Nation--hmp4.htm,https://fzmovies.net/imdb_images/%20Beasts.of.No.Nation.2015.jpg
War,Hollywood,Black Hawk Down,2002,BluRay,"Action/war drama based on the best-selling book detailing a near-disastrous mission in Somalia on October 3, 1993. On this date nearly 100 U.S. Army Rangers, commanded by Capt. Mike Steele, were dropped by helicopter deep into the capital city of Mogadishu to capture two top lieutenants of a Somali warlord. This lead to a large and drawn-out firefight between the Rangers and hundreds of Somali gunmen, leading to the destruction of two U.S. Black Hawk helicopters. This film focuses on the heroic efforts of various Rangers to get to the downed black hawks, centering on Sgt. Eversmann, leading the Ranger unit Chalk Four to the first black hawk crash site, Warrant Officer Durant who was captured after being the only survivor of the second black hawk crash, as well as many others who were involved. ...<more>",https://fzmovies.net/movie-Black%20Hawk%20Down--hmp4.htm,https://fzmovies.net/imdb_images/Black%20Hawk%20Down.jpg
War,Hollywood,Kingdom of Heaven,2005,BluRay,"It is the time of the Crusades during the Middle Ages - the world shaping 200-year collision between Europe and the East. A blacksmith named Balian has lost his family and nearly his faith. The religious wars raging in the far-off Holy Land seem remote to him, yet he is pulled into that immense drama. Amid the pageantry and intrigues of medieval Jerusalem he falls in love, grows into a leader, and ultimately uses all his courage and skill to defend the city against staggering odds. Destiny comes seeking Balian in the form of a great knight, Godfrey of Ibelin, a Crusader briefly home to France from fighting in the East. Revealing himself as Balian's father, Godfrey shows him the true meaning of knighthood and takes him on a journey across continents to the fabled Holy City. In Jerusalem at that moment--between the Second and Third Crusades--a fragile peace prevails, through the efforts of its enlightened Christian king, Baldwin IV, aided by his advisor Tiberias, and the military restraint of the legendary Muslim leader Saladin. But Baldwin's days are numbered, and strains of fanaticism, greed, and jealousy among the Crusaders threaten to shatter the truce. King Baldwin's vision of peace--a kingdom of heaven--is shared by a handful of knights, including Godfrey of Ibelin, who swear to uphold it with their lives and honor. As Godfrey passes his sword to his son, he also passes on that sacred oath: to protect the helpless, safeguard the peace, and work toward harmony between religions and cultures, so that a kingdom of heaven can flourish on earth. Balian takes the sword and steps into history. ...<more>",https://fzmovies.net/movie-Kingdom%20of%20Heaven--hmp4.htm,https://fzmovies.net/imdb_images/Kingdom%20of%20Heaven.jpg
War,Hollywood,1917,2019,BluRay,"Schofield and Blake, two young British soldiers during the First World War, are given a seemingly impossible mission. With time against them, they must deliver a message, deep in enemy territory, that will stop their own men, and Blake's own brother, walking straight into a deadly trap. Written by…Tags : explosion...<more>",https://fzmovies.net/movie-1917--hmp4.htm,https://fzmovies.net/imdb_images/1917.2019.jpg
War,Hollywood,Saving Private Ryan,1998,BluRay,"Opening with the Allied invasion of Normandy on 6 June 1944, members of the 2nd Ranger Battalion under Cpt. Miller fight ashore to secure a beachhead. Amidst the fighting, two brothers are killed in action. Earlier in New Guinea, a third brother is KIA. Their mother, Mrs. Ryan, is to receive all three of the grave telegrams on the same day. The United States Army Chief of Staff, George C. Marshall, is given an opportunity to alleviate some of her grief when he learns of a fourth brother, Private James Ryan, and decides to send out 8 men (Cpt. Miller and select members from 2nd Rangers) to find him and bring him back home to his mother... ...<more>",https://fzmovies.net/movie-Saving%20Private%20Ryan--hmp4.htm,https://fzmovies.net/imdb_images/Saving%20Private%20Ryan.jpg
