genre,category,title,year,distribution,description,url,cover_photo
Western,Hollywood,Rambo Last Blood,2019,BluRay,"Almost four decades after they drew first blood, Sylvester Stallone is back as one of the greatest action heroes of all time, John Rambo. Now, Rambo must confront his past and unearth his ruthless combat skills to exact revenge in a final mission. A deadly journey of vengeance, RAMBO: LAST BLOOD…Tags : sequel...<more>",https://fzmovies.net/movie-Rambo%20Last%20Blood--hmp4.htm,https://fzmovies.net/imdb_images/Rambo.Last.Blood.2019.jpg
Western,Hollywood,Django Unchained,2012,BluRay,"Former dentist, Dr. King Schultz, buys the freedom of a slave, Django, and trains him with the intent to make him his deputy bounty hunter. Instead, he is led to the site of Django's wife who is under the hands of Calvin Candie, a ruthless plantation owner. ...<more>",https://fzmovies.net/movie-Django%20Unchained--hmp4.htm,https://fzmovies.net/imdb_images/Django%20Unchained.jpg
Western,Hollywood,The Lone Ranger,2013,BluRay,"Native American warrior Tonto recounts the untold tales that transformed John Reid, a man of the law, into a legend of justice.",https://fzmovies.net/movie-The%20Lone%20Ranger--hmp4.htm,https://fzmovies.net/imdb_images/The%20Lone%20Ranger.jpg
Western,Hollywood,The Magnificent Seven,2016,BluRay,Seven gun men in the old west gradually come together to help a poor village against savage thieves.,https://fzmovies.net/movie-The%20Magnificent%20Seven--hmp4.htm,https://fzmovies.net/imdb_images/The.Magnificent.Seven.2016.jpg
Western,Hollywood,A Million Ways to Die in the West,2014,BluRay,"As a cowardly farmer begins to fall for the mysterious new woman in town, he must put his new-found courage to the test when her husband, a notorious gun-slinger, announces his arrival....<more>",https://fzmovies.net/movie-A%20Million%20Ways%20to%20Die%20in%20the%20West--hmp4.htm,https://fzmovies.net/imdb_images/A.Million.Ways.To.Die.In.The.West.2014.jpg
Western,Hollywood,The Good the Bad and the Ugly,1966,BluRay,"Blondie (The Good) is a professional gunslinger who is out trying to earn a few dollars. Angel Eyes (The Bad) is a hit man who always commits to a task and sees it through, as long as he is paid to do so. And Tuco (The Ugly) is a wanted outlaw trying to take care of his own hide. Tuco and Blondie share a partnership together making money off Tuco's bounty, but when Blondie unties the partnership, Tuco tries to hunt down Blondie. When Blondie and Tuco comes across a horse carriage loaded with dead bodies, they soon learn from the only survivor (Bill Carson) that he and a few other men have buried a stash of gold in a cemetery. Unfortunately Carson dies and Tuco only finds out the name of the cemetery, while Blondie finds out the name on the grave. Now the two must keep each other alive in order to find the gold. Angel Eyes (who had been looking for Bill Carson) discovers that Tuco and Blondie meet with Carson and knows they know the location of the gold. All he needs is for the two to lead him to it. Now The Good, The Bad and The Ugly must all battle it out to get their hands on $200,000 worth of gold. ...<more>",https://fzmovies.net/movie-The%20Good%20the%20Bad%20and%20the%20Ugly--hmp4.htm,https://fzmovies.net/imdb_images/The%20Good%20the%20Bad%20and%20the%20Ugly.jpg
Western,Hollywood,The Harder They Fall 2021,2021,WEB-DL,"When an outlaw discovers his enemy is being released from prison, he reunites his gang to seek revenge in this Western.Tags : revenge | prison | cowboy...<more>",https://fzmovies.net/movie-The%20Harder%20They%20Fall%202021--hmp4.htm,https://fzmovies.net/imdb_images/The.Harder.They.Fall.2021.jpg
Western,Hollywood,Around the World in 80 Days,2004,BluRay,"Set in 1872, the story focuses on Passepartout, a Chinese thief who steals a valuable jade Buddha and then seeks refuge in the traveling companionship of an eccentric London inventor and adventurer, Phileas Fogg, who has taken on a bet with members of his gentlemen's club that he can make it around the world in a mere 80 days, using a variety of means of transportation, like boats, trains, balloons, elephants, etc. Along the way, Passepartout uses his amazing martial arts abilities to defend Fogg from the many dangers they face.. One major threat to their adventure is a detective that's following them. Why? Just as Fogg and Passeportout left London, a major bank was robbed, with Fogg suspected of using the ""around the world"" trip as an excuse to escape.. Their path from London and back includes stops in Paris, Turkey, India, China and USA... ...<more>",https://fzmovies.net/movie-Around%20the%20World%20in%2080%20Days--hmp4.htm,https://fzmovies.net/imdb_images/Around%20the%20World%20in%2080%20Days.jpg
Western,Hollywood,The Ridiculous 6,2015,BluRay,"An outlaw who was raised by Native Americans discovers that he has five half-brothers; together the men go on a mission to find their wayward, deadbeat dad....<more>",https://fzmovies.net/movie-The%20Ridiculous%206--hmp4.htm,https://fzmovies.net/imdb_images/The.Ridiculous.6.2015.jpg
Western,Hollywood,Cowboys And Aliens,2011,BluRay,"The Old West.. where a lone cowboy leads an uprising against a terror from beyond our world. 1873. Arizona Territory. A stranger with no memory of his past stumbles into the hard desert town of Absolution. The only hint to his history is a mysterious shackle that encircles one wrist. What he discovers is that the people of Absolution don't welcome strangers, and nobody makes a move on its streets unless ordered to do so by the iron-fisted Colonel Dolarhyde (Ford). It's a town that lives in fear. But Absolution is about to experience fear it can scarcely comprehend as the desolate city is attacked by marauders from the sky. Screaming down with breathtaking velocity and blinding lights to abduct the helpless one by one, these monsters challenge everything the residents have ever known. Now, the stranger they rejected is their only hope for salvation. As this gunslinger slowly starts to remember who he is and where he's been, he realizes he holds a secret that could give the town a fighting chance against the alien force. With the help of the elusive traveler Ella (Olivia Wilde), he pulls together a posse comprised of former opponents-townsfolk, Dolarhyde and his boys, outlaws and Apache warriors-all in danger of annihilation. United against a common enemy, they will prepare for an epic showdown for survival. ...<more>",https://fzmovies.net/movie-Cowboys%20And%20Aliens--hmp4.htm,https://fzmovies.net/imdb_images/Cowboys%20And%20Aliens.jpg
Western,Hollywood,The Wind 2019,2019,BluRay,"A supernatural thriller set in the Western frontier of the late 1800s, The Wind stars Caitlin Gerard (INSIDIOUS: THE LAST KEY) as a plains-woman driven mad by the harshness and isolation of the untamed land. The film is directed by Emma Tammi, written by Teresa Sutherland and stars Gerard, Ashley…...<more>",https://fzmovies.net/movie-The%20Wind%202019--hmp4.htm,https://fzmovies.net/imdb_images/The.Wind.2018.jpg
Western,Hollywood,Lawless,2012,BluRay,"Set in Depression-era Franklin County, Virginia, a bootlegging gang is threatened by a new deputy and other authorities who want a cut of their profits.
...<more>",https://fzmovies.net/movie-Lawless--hmp4.htm,https://fzmovies.net/imdb_images/Lawless.jpg
Western,Hollywood,Back to the Future Part III,1990,BluRay,"Stranded in 1955, Marty McFly receives written word from his friend, Doctor Emmett Brown, as to where can be found the DeLorean time machine. However, an unfortunate discovery prompts Marty to go to his friend's aid. Using the time machine, Marty travels to the old west where his friend has run afoul of a gang of thugs and has fallen in love with a local schoolteacher. Using the technology from the time, Marty and Emmett devise one last chance to send the two of them back to the future. ...<more>",https://fzmovies.net/movie-Back%20to%20the%20Future%20Part%20III--hmp4.htm,https://fzmovies.net/imdb_images/Back%20to%20the%20Future%20Part%20III.jpg
Western,Hollywood,Killers of the Flower Moon,2023,WEB-DL,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery.Tags : native american...<more>",https://fzmovies.net/movie-Killers%20of%20the%20Flower%20Moon--hmp4.htm,https://fzmovies.net/imdb_images/Killers.of.the.Flower.Moon.2023.jpg
Western,Hollywood,Tom and Jerry Cowboy Up,2022,WEB-DL,The film finds the duo in the Wild West where they help save a ranch from the hands of a villain. The rivals team up to help a cowgirl and her brother save their homestead from a greedy land-grabber....<more>,https://fzmovies.net/movie-Tom%20and%20Jerry%20Cowboy%20Up--hmp4.htm,https://fzmovies.net/imdb_images/Tom.and.Jerry.Cowboy.Up..2022.jpg
Western,Hollywood,The Ballad of Buster Scruggs,2018,BluRay,"An anthology film comprised of six stories, each dealing with a different aspect of life in the Old West.Tags : parody | cowboy...<more>",https://fzmovies.net/movie-The%20Ballad%20of%20Buster%20Scruggs--hmp4.htm,https://fzmovies.net/imdb_images/The.Ballad.of.Buster.Scruggs.2018.jpg
Western,Hollywood,The Old Way,2023,BluRay,"An old gunslinger and his daughter must face the consequences of his past, when the son of a man he murdered years ago arrives to take his revenge.",https://fzmovies.net/movie-The%20Old%20Way--hmp4.htm,https://fzmovies.net/imdb_images/The.Old.Way.2023.jpg
Western,Hollywood,Unforgiven,1992,BluRay,"The town of Big Whisky is full of normal people trying to lead quiet lives. Cowboys try to make a living. Sheriff 'Little Bill' tries to build a house and keep a heavy-handed order. The town whores just try to get by.Then a couple of cowboys cut up a whore. Unsatisfied with Bill's justice, the prostitutes put a bounty on the cowboys. The bounty attracts a young gun billing himself as 'The Schofield Kid', and aging killer William Munny. Munny reformed for his young wife, and has been raising crops and two children in peace. But his wife is gone. Farm life is hard. And Munny is no good at it. So he calls his old partner Ned, saddles his ornery nag, and rides off to kill one more time, blurring the lines between heroism and villainy, man and myth. ...<more>",https://fzmovies.net/movie-Unforgiven--hmp4.htm,https://fzmovies.net/imdb_images/Unforgiven.jpg
Western,Hollywood,Jonah Hex,2010,BluRay,"During Grant's presidency, Jonah Hex is a remorseless bounty hunter. In the Civil War, he was a rebel whose honor put him afoul of a Confederate general, Quentin Turnbull, who murdered Jonah's family while Jonah watched. As a result of the ordeal, Jonah's face is disfigured and he can talk with the dead. After staging his own death, Turnbull, with a group of rebel stalwarts, hatches a plan to bring the Union to its knees. Grant wants Hex to stop it. While the nation readies to celebrate Independence Day, Hex and an unlikely ally have little time to stop Turnbull and his weapon of mass destruction. ...<more>",https://fzmovies.net/movie-Jonah%20Hex--hmp4.htm,https://fzmovies.net/imdb_images/Jonah%20Hex.jpg
Western,Hollywood,Five Fingers for Marseilles,2018,WEB-DL,"Twenty years ago, the young 'Five Fingers' fought for the rural town of Marseilles, against brutal police oppression. Now, after fleeing in disgrace, freedom-fighter-turned-'outlaw' Tau returns to Marseilles, seeking only a peaceful pastoral life. When he finds the town under new threat, he must…...<more>",https://fzmovies.net/movie-Five%20Fingers%20for%20Marseilles--hmp4.htm,https://fzmovies.net/imdb_images/Five.Fingers.for.Marseilles.2018.jpg
Western,Hollywood,The Legend of Zorro,2005,BluRay,"The Legendary Zorro goes off on another adventure to protect the future of California and its citizens. This time, he fights against evil-doers with the help of his beautiful wife, Elena, and their precocious young son, Joaquin. Alejandro De LaVega is torn between two worlds: his life as Zorro and…Tags : california | fight...<more>",https://fzmovies.net/movie-The%20Legend%20of%20Zorro--hmp4.htm,https://fzmovies.net/imdb_images/Legend.of.Zorro.2005.jpg
Western,Hollywood,Spirit Riding Free [Spirit Untamed],2021,BluRay,"Lucky Prescott's life is changed forever when she moves from her home in the city to a small frontier town and befriends a wild mustang named Spirit.
...<more>",https://fzmovies.net/movie-Spirit%20Riding%20Free%20[Spirit%20Untamed]--hmp4.htm,https://fzmovies.net/imdb_images/Spirit.Untamed.the.Movie.2021.jpg
Western,Hollywood,Legends of the Fall,1994,BluRay,"Set in the Rocky Mountains of Montana in the early 1900s, this is a tale of love, betrayal, and brotherhood. After being discharged, Colonel Ludlow decides to raise his three sons in the wilds of Montana, where they can grow up away from the government and society he has learned to despise. The three brothers mature and seem to have an unbreakable bond, until Susanna enters their lives. When Samuel, the youngest of the three, returns from college he brings with him his beautiful fianc�e, Susanna. The eldest son, Alfred, soon finds himself in love with his brother's fianc�e, and things get worse when he discovers a growing passion between Susanna and Tristan. Colonel Ludlow's favorite son, Tristan is willful and as wild as the mountains. As the brothers set out to fight a war in Europe, suspicion and jealousy threatens to tear apart their once indestructible bond. ...<more>",https://fzmovies.net/movie-Legends%20of%20the%20Fall--hmp4.htm,https://fzmovies.net/imdb_images/Legends%20of%20the%20Fall.jpg
Western,Hollywood,No Mans Land 2021,2021,BluRay,"A modern Western inspired by the real-life ""no man's land"" areas along the Texas-Mexico border. While out on a father-son border patrol, Jackson kills a Mexican immigrant boy. When Jackson's father tries taking the blame, Jackson flees south on horseback, becoming a gringo ""illegal alien"" in…...<more>",https://fzmovies.net/movie-No%20Mans%20Land%202021--hmp4.htm,https://fzmovies.net/imdb_images/No.Mans.Land.2021.jpg
Western,Hollywood,Hostiles 2018,2018,BluRay,"In 1892, a legendary Army captain reluctantly agrees to escort a Cheyenne chief and his family through dangerous territory.",https://fzmovies.net/movie-Hostiles%202018--hmp4.htm,https://fzmovies.net/imdb_images/Hostiles.2017.jpg
